name	type	units	low_cutoff	high_cutoff	status	status_description
Trigger Event	MISC	n/a	512	n/a	bad	noise
Patient Event	MISC	n/a	512	n/a	bad	noise
RPIN1	SEEG	uV	512	n/a	good	n/a
RPIN2	SEEG	uV	512	n/a	good	n/a
RPIN3	SEEG	uV	512	n/a	good	n/a
RPIN4	SEEG	uV	512	n/a	good	n/a
RPIN5	SEEG	uV	512	n/a	good	n/a
RPIN6	SEEG	uV	512	n/a	good	n/a
RPIN7	SEEG	uV	512	n/a	good	n/a
RPIN8	SEEG	uV	512	n/a	good	n/a
RPIN9	SEEG	uV	512	n/a	good	n/a
RPIN10	SEEG	uV	512	n/a	good	n/a
RPIN11	SEEG	uV	512	n/a	good	n/a
RPIN12	SEEG	uV	512	n/a	good	n/a
RPIN13	SEEG	uV	512	n/a	good	n/a
RPIN14	SEEG	uV	512	n/a	good	n/a
RPIN15	SEEG	uV	512	n/a	good	n/a
RPIN16	SEEG	uV	512	n/a	good	n/a
RMIN1	SEEG	uV	512	n/a	good	n/a
RMIN2	SEEG	uV	512	n/a	good	n/a
RMIN3	SEEG	uV	512	n/a	good	n/a
RMIN4	SEEG	uV	512	n/a	good	n/a
RMIN5	SEEG	uV	512	n/a	good	n/a
RMIN6	SEEG	uV	512	n/a	good	n/a
RMIN7	SEEG	uV	512	n/a	good	n/a
RMIN8	SEEG	uV	512	n/a	good	n/a
RMIN9	SEEG	uV	512	n/a	good	n/a
RMIN10	SEEG	uV	512	n/a	good	n/a
RMIN11	SEEG	uV	512	n/a	good	n/a
RMIN12	SEEG	uV	512	n/a	good	n/a
RMIN13	SEEG	uV	512	n/a	good	n/a
RMIN14	SEEG	uV	512	n/a	good	n/a
RMIN15	SEEG	uV	512	n/a	good	n/a
RMIN16	SEEG	uV	512	n/a	good	n/a
RAIN1	SEEG	uV	512	n/a	good	n/a
RAIN2	SEEG	uV	512	n/a	good	n/a
RAIN3	SEEG	uV	512	n/a	good	n/a
RAIN4	SEEG	uV	512	n/a	good	n/a
RAIN5	SEEG	uV	512	n/a	good	n/a
RAIN6	SEEG	uV	512	n/a	good	n/a
RAIN7	SEEG	uV	512	n/a	good	n/a
RAIN8	SEEG	uV	512	n/a	good	n/a
RAIN9	SEEG	uV	512	n/a	good	n/a
RAIN10	SEEG	uV	512	n/a	good	n/a
RAIN11	SEEG	uV	512	n/a	good	n/a
RAIN12	SEEG	uV	512	n/a	good	n/a
RAIN13	SEEG	uV	512	n/a	good	n/a
RAIN14	SEEG	uV	512	n/a	good	n/a
RAIN15	SEEG	uV	512	n/a	good	n/a
RAIN16	SEEG	uV	512	n/a	good	n/a
RAC1	SEEG	uV	512	n/a	good	n/a
RAC2	SEEG	uV	512	n/a	good	n/a
RAC3	SEEG	uV	512	n/a	good	n/a
RAC4	SEEG	uV	512	n/a	good	n/a
RAC5	SEEG	uV	512	n/a	good	n/a
RAC6	SEEG	uV	512	n/a	good	n/a
RAC7	SEEG	uV	512	n/a	good	n/a
RAC8	SEEG	uV	512	n/a	good	n/a
RAC9	SEEG	uV	512	n/a	good	n/a
RAC10	SEEG	uV	512	n/a	good	n/a
RAC11	SEEG	uV	512	n/a	good	n/a
RAC12	SEEG	uV	512	n/a	good	n/a
RAC13	SEEG	uV	512	n/a	good	n/a
RAC14	SEEG	uV	512	n/a	good	n/a
C63	OTHER	uV	512	n/a	bad	noise
C64	OTHER	uV	512	n/a	bad	noise
RHC1	SEEG	uV	512	n/a	good	n/a
RHC2	SEEG	uV	512	n/a	good	n/a
RHC3	SEEG	uV	512	n/a	good	n/a
RHC4	SEEG	uV	512	n/a	good	n/a
RHC5	SEEG	uV	512	n/a	good	n/a
RHC6	SEEG	uV	512	n/a	good	n/a
RHC7	SEEG	uV	512	n/a	good	n/a
RHC8	SEEG	uV	512	n/a	good	n/a
RHC9	SEEG	uV	512	n/a	good	n/a
RHC10	SEEG	uV	512	n/a	good	n/a
RHC11	SEEG	uV	512	n/a	good	n/a
RHC12	SEEG	uV	512	n/a	good	n/a
RHC13	SEEG	uV	512	n/a	good	n/a
RHC14	SEEG	uV	512	n/a	good	n/a
RHC15	SEEG	uV	512	n/a	good	n/a
RHC16	SEEG	uV	512	n/a	good	n/a
RA1	SEEG	uV	512	n/a	good	n/a
RA2	SEEG	uV	512	n/a	good	n/a
RA3	SEEG	uV	512	n/a	good	n/a
RA4	SEEG	uV	512	n/a	good	n/a
RA5	SEEG	uV	512	n/a	good	n/a
RA6	SEEG	uV	512	n/a	good	n/a
RA7	SEEG	uV	512	n/a	good	n/a
RA8	SEEG	uV	512	n/a	good	n/a
RA9	SEEG	uV	512	n/a	good	n/a
RA10	SEEG	uV	512	n/a	good	n/a
RA11	SEEG	uV	512	n/a	good	n/a
RA12	SEEG	uV	512	n/a	good	n/a
RA13	SEEG	uV	512	n/a	good	n/a
RA14	SEEG	uV	512	n/a	good	n/a
RA15	SEEG	uV	512	n/a	good	n/a
RA16	SEEG	uV	512	n/a	good	n/a
Grid1	ECOG	uV	512	n/a	good	n/a
Grid2	ECOG	uV	512	n/a	good	n/a
Grid3	ECOG	uV	512	n/a	good	n/a
Grid4	ECOG	uV	512	n/a	good	n/a
Grid5	ECOG	uV	512	n/a	good	n/a
Grid6	ECOG	uV	512	n/a	good	n/a
Grid7	ECOG	uV	512	n/a	good	n/a
Grid8	ECOG	uV	512	n/a	good	n/a
Grid9	ECOG	uV	512	n/a	good	n/a
