name	type	units	low_cutoff	high_cutoff	status	status_description
RD21	SEEG	uV	512	n/a	good	n/a
RD22	SEEG	uV	512	n/a	good	n/a
RD23	SEEG	uV	512	n/a	good	n/a
RD24	SEEG	uV	512	n/a	good	n/a
RD25	SEEG	uV	512	n/a	good	n/a
RD26	SEEG	uV	512	n/a	good	n/a
RD27	SEEG	uV	512	n/a	good	n/a
RD28	SEEG	uV	512	n/a	good	n/a
RD29	SEEG	uV	512	n/a	good	n/a
RD210	SEEG	uV	512	n/a	good	n/a
RD11	SEEG	uV	512	n/a	good	n/a
RD12	SEEG	uV	512	n/a	good	n/a
RD13	SEEG	uV	512	n/a	good	n/a
RD14	SEEG	uV	512	n/a	good	n/a
RD15	SEEG	uV	512	n/a	good	n/a
RD16	SEEG	uV	512	n/a	good	n/a
RD17	SEEG	uV	512	n/a	good	n/a
RD18	SEEG	uV	512	n/a	good	n/a
RD19	SEEG	uV	512	n/a	good	n/a
RD110	SEEG	uV	512	n/a	good	n/a
RPPGH1	SEEG	uV	512	n/a	good	n/a
RPPGH2	SEEG	uV	512	n/a	good	n/a
RPPGH3	SEEG	uV	512	n/a	good	n/a
RPPGH4	SEEG	uV	512	n/a	good	n/a
RPPGH5	SEEG	uV	512	n/a	good	n/a
RPPGH6	SEEG	uV	512	n/a	good	n/a
RPPGH7	SEEG	uV	512	n/a	good	n/a
RPPGH8	SEEG	uV	512	n/a	good	n/a
RPPGH9	SEEG	uV	512	n/a	good	n/a
RPPGH10	SEEG	uV	512	n/a	good	n/a
RHT1	SEEG	uV	512	n/a	good	n/a
RHT2	SEEG	uV	512	n/a	good	n/a
RHT3	SEEG	uV	512	n/a	good	n/a
RHT4	SEEG	uV	512	n/a	good	n/a
RHT5	SEEG	uV	512	n/a	good	n/a
RHT6	SEEG	uV	512	n/a	good	n/a
RHT7	SEEG	uV	512	n/a	good	n/a
RHT8	SEEG	uV	512	n/a	good	n/a
RHT9	SEEG	uV	512	n/a	good	n/a
RHT10	SEEG	uV	512	n/a	good	n/a
RAPHG1	SEEG	uV	512	n/a	good	n/a
RAPHG2	SEEG	uV	512	n/a	good	n/a
RAPHG3	SEEG	uV	512	n/a	good	n/a
RAPHG4	SEEG	uV	512	n/a	good	n/a
RAPHG5	SEEG	uV	512	n/a	good	n/a
RAPHG6	SEEG	uV	512	n/a	good	n/a
RAPHG7	SEEG	uV	512	n/a	good	n/a
RAPHG8	SEEG	uV	512	n/a	good	n/a
RAPHG9	SEEG	uV	512	n/a	good	n/a
RAPHG10	SEEG	uV	512	n/a	good	n/a
RHB1	SEEG	uV	512	n/a	good	n/a
RHB2	SEEG	uV	512	n/a	good	n/a
RHB3	SEEG	uV	512	n/a	good	n/a
RHB4	SEEG	uV	512	n/a	good	n/a
RHB5	SEEG	uV	512	n/a	good	n/a
RHB6	SEEG	uV	512	n/a	good	n/a
RHB7	SEEG	uV	512	n/a	good	n/a
RHB8	SEEG	uV	512	n/a	good	n/a
RHB9	SEEG	uV	512	n/a	good	n/a
RHB10	SEEG	uV	512	n/a	good	n/a
RHH1	SEEG	uV	512	n/a	good	n/a
RHH2	SEEG	uV	512	n/a	good	n/a
RHH3	SEEG	uV	512	n/a	good	n/a
RHH4	SEEG	uV	512	n/a	good	n/a
RHH5	SEEG	uV	512	n/a	good	n/a
RHH6	SEEG	uV	512	n/a	good	n/a
RHH7	SEEG	uV	512	n/a	good	n/a
RHH8	SEEG	uV	512	n/a	good	n/a
RHH9	SEEG	uV	512	n/a	good	n/a
RHH10	SEEG	uV	512	n/a	good	n/a
RA1	SEEG	uV	512	n/a	good	n/a
RA2	SEEG	uV	512	n/a	good	n/a
RA3	SEEG	uV	512	n/a	good	n/a
RA4	SEEG	uV	512	n/a	good	n/a
RA5	SEEG	uV	512	n/a	good	n/a
RA6	SEEG	uV	512	n/a	good	n/a
RA7	SEEG	uV	512	n/a	good	n/a
RA8	SEEG	uV	512	n/a	good	n/a
RA9	SEEG	uV	512	n/a	good	n/a
