Time	Action
1038.54517706	Played excerpts/Block 2\s4003b-ex01_normed.wav
1064.55149198	Played s4003b-ex01_question_normed.wav
1072.92995596	Pressed SPACE
1082.32184843	Pressed SPACE
1083.34800461	Played excerpts/Block 2\s3602b-ex02_normed.wav
1116.35287192	Played s3602b-ex02_question_normed.wav
1122.99384732	Pressed SPACE
1124.08178196	Pressed SPACE
1125.10687633	Played excerpts/Block 2\s2102a-ex02_normed.wav
1162.11187675	Played s2102a-ex02_question_normed.wav
1167.85773311	Pressed SPACE
1168.62569435	Pressed SPACE
1169.65011934	Played excerpts/Block 2\s3903b-ex01_normed.wav
1196.65419566	Played s3903b-ex01_question_normed.wav
1203.82584683	Pressed SPACE
1204.60966218	Pressed SPACE
1205.64022068	Played excerpts/Block 2\s2202b-ex02_normed.wav
1260.64677755	Played s2202b-ex02_question_normed.wav
1269.61785724	Pressed SPACE
1270.33777126	Pressed SPACE
1271.36572557	Played excerpts/Block 2\s1201a-ex01_normed.wav
1306.37163451	Played s1201a-ex01_question_normed.wav
1314.28966476	Pressed SPACE
1314.97763655	Pressed SPACE
1316.00602979	Played excerpts/Block 2\catalan-f01_normed.wav
1363.01375322	Played catalan-f01_question_normed.wav
1369.52168921	Pressed SPACE
1375.88960406	Pressed SPACE
1378.97760641	Pressed SPACE
1379.4955315	Played excerpts/Block 3\s1303a-ex02_normed.wav
1409.50100407	Played s1303a-ex02_question_normed.wav
1426.09749452	Pressed SPACE
1426.60955896	Pressed SPACE
1427.63795475	Played excerpts/Block 3\s1501a-ex01_normed.wav
1471.64375128	Played s1501a-ex01_question_normed.wav
1480.57745884	Pressed SPACE
1485.71350662	Pressed SPACE
1486.7497196	Played excerpts/Block 3\s3201a-ex01_normed.wav
1564.75838604	Played s3201a-ex01_question_normed.wav
1572.44939355	Pressed SPACE
1574.88146112	Pressed SPACE
1575.90704986	Played excerpts/Block 3\s3903b-ex02_normed.wav
1608.91227435	Played s3903b-ex02_question_normed.wav
1620.36935938	Pressed SPACE
1622.43338487	Pressed SPACE
1623.46197305	Played excerpts/Block 3\catalan-m02_normed.wav
1675.4699558	Played catalan-m02_question_normed.wav
1680.92930165	Pressed SPACE
1685.72929506	Pressed SPACE
1686.75610733	Played excerpts/Block 3\s1001a-ex01_normed.wav
1728.76166064	Played s1001a-ex01_question_normed.wav
1733.60133197	Pressed SPACE
1738.11333049	Pressed SPACE
1739.13901988	Played excerpts/Block 3\s1401a-ex02_normed.wav
1776.14437774	Played s1401a-ex02_question_normed.wav
1781.71332062	Pressed SPACE
1784.38531083	Pressed SPACE
1785.41219157	Played excerpts/Block 3\s3703b-ex01_normed.wav
1821.4176391	Played s3703b-ex01_question_normed.wav
1831.87317	Pressed SPACE
1834.7852397	Pressed SPACE
1835.81255017	Played excerpts/Block 3\s3301a-ex02_normed.wav
1873.81722664	Played s3301a-ex02_question_normed.wav
1879.26523365	Pressed SPACE
1881.80925079	Pressed SPACE
1883.53716749	Pressed SPACE
1884.05955112	Played excerpts/Block 4\catalan-f02_normed.wav
1928.06526001	Played catalan-f02_question_normed.wav
1933.34509357	Pressed SPACE
1944.59306486	Pressed SPACE
1945.6163427	Played excerpts/Block 4\s3102b-ex01_normed.wav
1966.62107588	Played s3102b-ex01_question_normed.wav
1971.95313416	Pressed SPACE
1993.23315575	Pressed SPACE
1994.25684646	Played excerpts/Block 4\s0702a-ex01_normed.wav
2025.26165987	Played s0702a-ex01_question_normed.wav
2030.36895801	Pressed SPACE
2032.57700075	Pressed SPACE
2033.60793891	Played excerpts/Block 4\s0202b-ex01_normed.wav
2090.61443573	Played s0202b-ex01_question_normed.wav
2098.09705048	Pressed SPACE
2100.65702878	Pressed SPACE
2101.68571531	Played excerpts/Block 4\s1604a-ex01_normed.wav
2148.6919518	Played s1604a-ex01_question_normed.wav
2155.31291475	Pressed SPACE
2158.03295448	Pressed SPACE
2159.06581212	Played excerpts/Block 4\s2801a-ex01_normed.wav
2220.07387407	Played s2801a-ex01_question_normed.wav
2224.91291179	Pressed SPACE
2226.84884133	Pressed SPACE
2227.87508667	Played excerpts/Block 4\s3802a-ex01_normed.wav
2262.88053267	Played s3802a-ex01_question_normed.wav
2271.10473891	Pressed SPACE
2274.03281754	Pressed SPACE
2275.05796964	Played excerpts/Block 4\s3902a-ex01_normed.wav
2307.06324344	Played s3902a-ex01_question_normed.wav
2316.43275152	Pressed SPACE
2320.81672307	Pressed SPACE
2321.84598727	Played excerpts/Block 4\s2102a-ex03_normed.wav
2367.85154517	Played s2102a-ex03_question_normed.wav
2371.77679094	Pressed SPACE
2373.85678039	Pressed SPACE
2406.89730143	Clicked QUIT
