Time	Action
136.258823178	Pressed SPACE
136.773428195	Played welcome_normed.wav
158.210675037	Pressed SPACE
158.721782157	Played instructions1_normed.wav
200.738712122	Pressed SPACE
201.249609485	Played instructions2_normed.wav
241.378651765	Pressed SPACE
241.889067532	Played instructions3_normed.wav
249.810627618	Pressed SPACE
250.332128533	Played excerpts/Block 1\s3602b-ex01_normed.wav
286.33733003	Played s3602b-ex01_question_normed.wav
294.930530553	Pressed SPACE
521.5544697	Pressed SPACE
522.584308491	Played excerpts/Block 1\catalan-m01_normed.wav
569.590603224	Played catalan-m01_question_normed.wav
599.858247919	Pressed SPACE
602.018318802	Pressed SPACE
603.043659458	Played excerpts/Block 1\s4002b-ex01_normed.wav
638.0505993	Played s4002b-ex01_question_normed.wav
646.514181161	Pressed SPACE
671.922295894	Pressed SPACE
672.952923124	Played excerpts/Block 1\s3001b-ex01_normed.wav
722.958230904	Played s3001b-ex01_question_normed.wav
733.410241933	Pressed SPACE
735.378158927	Pressed SPACE
736.403932381	Played excerpts/Block 1\s1401a-ex01_normed.wav
772.409277462	Played s1401a-ex01_question_normed.wav
780.354175172	Pressed SPACE
781.538181523	Pressed SPACE
782.565280197	Played excerpts/Block 1\s1303a-ex01_normed.wav
817.570575713	Played s1303a-ex01_question_normed.wav
825.906138783	Pressed SPACE
826.946136831	Pressed SPACE
827.970887052	Played excerpts/Block 1\s2102a-ex01_normed.wav
856.975654728	Played s2102a-ex01_question_normed.wav
864.834110104	Pressed SPACE
865.810087515	Pressed SPACE
866.832720501	Played excerpts/Block 1\s2301a-ex01_normed.wav
889.837236521	Played s2301a-ex01_question_normed.wav
899.458057938	Pressed SPACE
900.162033803	Pressed SPACE
901.188025189	Played excerpts/Block 1\s1901b-ex01_normed.wav
939.193685799	Played s1901b-ex01_question_normed.wav
947.473931456	Pressed SPACE
948.721973518	Pressed SPACE
956.92995928	Pressed SPACE
957.447628885	Played excerpts/Block 2\s3301a-ex01_normed.wav
983.453355155	Played s3301a-ex01_question_normed.wav
989.649935131	Pressed SPACE
990.465974513	Pressed SPACE
991.493024134	Played excerpts/Block 2\s0703b-ex01_normed.wav
1031.49845966	Played s0703b-ex01_question_normed.wav
1036.84983723	Pressed SPACE
1037.52192528	Pressed SPACE
