Time	Action
1962.14258957	Pressed SPACE
1963.16335008	Played excerpts/Block 4\s3102b-ex01_normed.wav
1984.16739294	Played s3102b-ex01_question_normed.wav
1990.03079406	Pressed SPACE
1991.93466436	Pressed SPACE
2000.17473262	Pressed SPACE
2000.69617375	Played excerpts/Block 5\s1202b-ex01_normed.wav
2035.70093708	Played s1202b-ex01_question_normed.wav
2046.62264152	Pressed SPACE
2047.98268961	Pressed SPACE
2049.01446015	Played excerpts/Block 5\s1103a-ex01_normed.wav
2104.02087139	Played s1103a-ex01_question_normed.wav
2111.13452941	Pressed SPACE
2112.41447232	Pressed SPACE
2113.44675511	Played excerpts/Block 5\s1703b-ex01_normed.wav
2167.45390088	Played s1703b-ex01_question_normed.wav
2175.32659439	Pressed SPACE
2176.4944886	Pressed SPACE
2177.52410383	Played excerpts/Block 5\s0203b-ex01_normed.wav
2220.52946246	Played s0203b-ex01_question_normed.wav
2227.00666059	Pressed SPACE
2228.67044041	Pressed SPACE
2229.70005794	Played excerpts/Block 5\s1401b-ex01_normed.wav
2284.70862218	Played s1401b-ex01_question_normed.wav
2289.43847549	Pressed SPACE
2290.75033456	Pressed SPACE
2291.78012328	Played excerpts/Block 5\catalan-m03_normed.wav
2342.78795759	Played catalan-m03_question_normed.wav
2346.89439192	Pressed SPACE
2347.21433951	Pressed SPACE
2348.24071439	Played excerpts/Block 5\s3003a-ex01_normed.wav
2382.2461144	Played s3003a-ex01_question_normed.wav
2386.95830857	Pressed SPACE
2389.80626796	Pressed SPACE
2390.82839916	Played excerpts/Block 5\s1503a-ex01_normed.wav
2407.83241391	Played s1503a-ex01_question_normed.wav
2413.21435867	Pressed SPACE
2414.86233421	Pressed SPACE
2415.88689	Played excerpts/Block 5\s0802b-ex01_normed.wav
2445.89341519	Played s0802b-ex01_question_normed.wav
2451.50224089	Pressed SPACE
2453.69424276	Pressed SPACE
2470.06223579	Pressed SPACE
2470.58444646	Played excerpts/Block 6\s1702b-ex01_normed.wav
2512.59012214	Played s1702b-ex01_question_normed.wav
2520.23833451	Pressed SPACE
2521.64635803	Pressed SPACE
2522.67306172	Played excerpts/Block 6\s0901b-ex01_normed.wav
2559.67889913	Played s0901b-ex01_question_normed.wav
2568.09419642	Pressed SPACE
2570.12625183	Pressed SPACE
2571.15185002	Played excerpts/Block 6\s2302b-ex01_normed.wav
2607.15674646	Played s2302b-ex01_question_normed.wav
2615.93415236	Pressed SPACE
2617.55006635	Pressed SPACE
2618.57650944	Played excerpts/Block 6\s3801a-ex01_normed.wav
2652.58235349	Played s3801a-ex01_question_normed.wav
2661.48613948	Pressed SPACE
2663.69413955	Pressed SPACE
2664.72299803	Played excerpts/Block 6\s0305a-ex01_normed.wav
2708.72925444	Played s0305a-ex01_question_normed.wav
2715.18211778	Pressed SPACE
2716.57407054	Pressed SPACE
2717.59775819	Played excerpts/Block 6\s1503a-ex02_normed.wav
2745.6022364	Played s1503a-ex02_question_normed.wav
2750.30192235	Pressed SPACE
2751.77394607	Pressed SPACE
2752.79941422	Played excerpts/Block 6\s1203a-ex01_normed.wav
2787.80544528	Played s1203a-ex01_question_normed.wav
2795.38987462	Pressed SPACE
2797.11797655	Pressed SPACE
2798.14849443	Played excerpts/Block 6\catalan-f03_normed.wav
2853.15562103	Played catalan-f03_question_normed.wav
2857.96585929	Pressed SPACE
2858.30187253	Pressed SPACE
2859.32988432	Played excerpts/Block 6\s3003a-ex02_normed.wav
2904.33785889	Played s3003a-ex02_question_normed.wav
2911.35783812	Pressed SPACE
2912.63782803	Pressed SPACE
2935.29383281	Pressed SPACE
