Time	Action
2.25659097215	Pressed SPACE
2.76896173954	Played welcome_normed.wav
23.024427539	Pressed SPACE
23.5354237767	Played instructions1_normed.wav
65.6324405363	Pressed SPACE
66.1440435598	Played instructions2_normed.wav
89.0563986402	Pressed SPACE
89.5666089943	Played instructions3_normed.wav
96.0964342451	Pressed SPACE
96.6163886863	Played excerpts/Block 1\s3602b-ex01_normed.wav
132.621995132	Played s3602b-ex01_question_normed.wav
145.568462566	Pressed SPACE
152.064256198	Pressed SPACE
153.090049069	Played excerpts/Block 1\s1901b-ex01_normed.wav
191.096349423	Played s1901b-ex01_question_normed.wav
199.26441966	Pressed SPACE
204.240215162	Pressed SPACE
205.264857057	Played excerpts/Block 1\s2102a-ex01_normed.wav
234.271933585	Played s2102a-ex01_question_normed.wav
243.584273745	Pressed SPACE
246.208253003	Pressed SPACE
247.237728746	Played excerpts/Block 1\s3001b-ex01_normed.wav
297.24583566	Played s3001b-ex01_question_normed.wav
305.488263867	Pressed SPACE
308.720267108	Pressed SPACE
309.742121364	Played excerpts/Block 1\s2301a-ex01_normed.wav
332.747034158	Played s2301a-ex01_question_normed.wav
339.440294313	Pressed SPACE
341.952305352	Pressed SPACE
342.978633983	Played excerpts/Block 1\s4002b-ex01_normed.wav
377.984132868	Played s4002b-ex01_question_normed.wav
383.776039801	Pressed SPACE
385.42412596	Pressed SPACE
386.450408859	Played excerpts/Block 1\s1401a-ex01_normed.wav
422.45642051	Played s1401a-ex01_question_normed.wav
428.752164118	Pressed SPACE
430.368213771	Pressed SPACE
431.397912299	Played excerpts/Block 1\catalan-m01_normed.wav
478.404693738	Played catalan-m01_question_normed.wav
488.78400262	Pressed SPACE
490.016057471	Pressed SPACE
491.041828625	Played excerpts/Block 1\s1303a-ex01_normed.wav
526.048818799	Played s1303a-ex01_question_normed.wav
532.255993895	Pressed SPACE
534.22407057	Pressed SPACE
565.663995191	Pressed SPACE
566.182515829	Played excerpts/Block 2\s3903b-ex01_normed.wav
593.186592919	Played s3903b-ex01_question_normed.wav
598.255933855	Pressed SPACE
600.000035768	Pressed SPACE
601.02830356	Played excerpts/Block 2\s0703b-ex01_normed.wav
641.034741877	Played s0703b-ex01_question_normed.wav
646.49600901	Pressed SPACE
648.223821724	Pressed SPACE
649.250489389	Played excerpts/Block 2\s2102a-ex02_normed.wav
686.25651918	Played s2102a-ex02_question_normed.wav
689.951892227	Pressed SPACE
691.087840624	Pressed SPACE
692.111505529	Played excerpts/Block 2\s3301a-ex01_normed.wav
718.116336567	Played s3301a-ex01_question_normed.wav
723.775917677	Pressed SPACE
725.071778044	Pressed SPACE
726.094995332	Played excerpts/Block 2\s4003b-ex01_normed.wav
752.099370067	Played s4003b-ex01_question_normed.wav
757.919760168	Pressed SPACE
759.455806826	Pressed SPACE
760.485879645	Played excerpts/Block 2\s2202b-ex02_normed.wav
815.494622727	Played s2202b-ex02_question_normed.wav
822.687735465	Pressed SPACE
827.375779305	Pressed SPACE
828.40094444	Played excerpts/Block 2\s3602b-ex02_normed.wav
861.406443836	Played s3602b-ex02_question_normed.wav
865.759740638	Pressed SPACE
867.807673912	Pressed SPACE
868.834315262	Played excerpts/Block 2\s1201a-ex01_normed.wav
903.839245174	Played s1201a-ex01_question_normed.wav
911.599732861	Pressed SPACE
915.231637637	Pressed SPACE
916.260437356	Played excerpts/Block 2\catalan-f01_normed.wav
963.267082364	Played catalan-f01_question_normed.wav
969.551634796	Pressed SPACE
972.767638563	Pressed SPACE
976.415609241	Pressed SPACE
976.935625	Played excerpts/Block 3\s1303a-ex02_normed.wav
1006.94282391	Played s1303a-ex02_question_normed.wav
1019.9035816	Pressed SPACE
1023.91952691	Pressed SPACE
1024.94599248	Played excerpts/Block 3\s3301a-ex02_normed.wav
1062.95167378	Played s3301a-ex02_question_normed.wav
1068.9275702	Pressed SPACE
1070.76750954	Pressed SPACE
1071.7951639	Played excerpts/Block 3\s1501a-ex01_normed.wav
1115.80271666	Played s1501a-ex01_question_normed.wav
1121.07152383	Pressed SPACE
1122.6074964	Pressed SPACE
1123.63462343	Played excerpts/Block 3\s1401a-ex02_normed.wav
1160.64012027	Played s1401a-ex02_question_normed.wav
1166.63938293	Pressed SPACE
1168.89543661	Pressed SPACE
1169.92103889	Played excerpts/Block 3\s3903b-ex02_normed.wav
1202.9272327	Played s3903b-ex02_question_normed.wav
1209.80734433	Pressed SPACE
1211.75944631	Pressed SPACE
1212.79536676	Played excerpts/Block 3\s3201a-ex01_normed.wav
1290.80389881	Played s3201a-ex01_question_normed.wav
1299.69525705	Pressed SPACE
1302.43133151	Pressed SPACE
1303.46090306	Played excerpts/Block 3\catalan-m02_normed.wav
1355.46899899	Played catalan-m02_question_normed.wav
1360.0953336	Pressed SPACE
1360.49513779	Pressed SPACE
1361.52290866	Played excerpts/Block 3\s1001a-ex01_normed.wav
1403.52852251	Played s1001a-ex01_question_normed.wav
1408.09529706	Pressed SPACE
1409.27920582	Pressed SPACE
1410.30634077	Played excerpts/Block 3\s3703b-ex01_normed.wav
1446.31169965	Played s3703b-ex01_question_normed.wav
1455.31121678	Pressed SPACE
1456.7992249	Pressed SPACE
1463.50312233	Pressed SPACE
1464.03013235	Played excerpts/Block 4\s2801a-ex01_normed.wav
1525.03784632	Played s2801a-ex01_question_normed.wav
1532.14305686	Pressed SPACE
1533.80705997	Pressed SPACE
1534.83638983	Played excerpts/Block 4\s1604a-ex01_normed.wav
1581.84255324	Played s1604a-ex01_question_normed.wav
1589.64710099	Pressed SPACE
1590.81496991	Pressed SPACE
1591.840622	Played excerpts/Block 4\s0702a-ex01_normed.wav
1622.84526091	Played s0702a-ex01_question_normed.wav
1627.99908075	Pressed SPACE
1629.16698773	Pressed SPACE
1630.19251413	Played excerpts/Block 4\s3902a-ex01_normed.wav
1662.19748543	Played s3902a-ex01_question_normed.wav
1669.5190449	Pressed SPACE
1671.59910104	Pressed SPACE
1672.62525517	Played excerpts/Block 4\s3802a-ex01_normed.wav
1707.63134117	Played s3802a-ex01_question_normed.wav
1789.4708914	Pressed SPACE
1791.23097975	Pressed SPACE
1792.25906972	Played excerpts/Block 4\s2102a-ex03_normed.wav
1838.26573824	Played s2102a-ex03_question_normed.wav
1841.87073238	Pressed SPACE
1843.72690471	Pressed SPACE
1844.75584954	Played excerpts/Block 4\catalan-f02_normed.wav
1888.76116499	Played catalan-f02_question_normed.wav
1893.74284721	Pressed SPACE
1894.54279667	Pressed SPACE
1895.57525474	Played excerpts/Block 4\s0202b-ex01_normed.wav
1952.58105791	Played s0202b-ex01_question_normed.wav
1959.99865664	Pressed SPACE
