name	type	units	low_cutoff	high_cutoff	status	status_description
LINS1	SEEG	uV	512	n/a	good	n/a
LINS2	SEEG	uV	512	n/a	good	n/a
LINS3	SEEG	uV	512	n/a	good	n/a
LINS4	SEEG	uV	512	n/a	good	n/a
LINS5	SEEG	uV	512	n/a	good	n/a
LINS6	SEEG	uV	512	n/a	good	n/a
LINS7	SEEG	uV	512	n/a	good	n/a
LINS8	SEEG	uV	512	n/a	good	n/a
LINS9	SEEG	uV	512	n/a	good	n/a
LINS10	SEEG	uV	512	n/a	good	n/a
LPC1	SEEG	uV	512	n/a	good	n/a
LPC2	SEEG	uV	512	n/a	good	n/a
LPC3	SEEG	uV	512	n/a	good	n/a
LPC4	SEEG	uV	512	n/a	good	n/a
LPC5	SEEG	uV	512	n/a	good	n/a
LPC6	SEEG	uV	512	n/a	good	n/a
LPC7	SEEG	uV	512	n/a	good	n/a
LPC8	SEEG	uV	512	n/a	good	n/a
LPC9	SEEG	uV	512	n/a	good	n/a
LPC10	SEEG	uV	512	n/a	good	n/a
LAC1	SEEG	uV	512	n/a	good	n/a
LAC2	SEEG	uV	512	n/a	good	n/a
LAC3	SEEG	uV	512	n/a	good	n/a
LAC4	SEEG	uV	512	n/a	good	n/a
LAC5	SEEG	uV	512	n/a	good	n/a
LAC6	SEEG	uV	512	n/a	good	n/a
LAC7	SEEG	uV	512	n/a	good	n/a
LAC8	SEEG	uV	512	n/a	good	n/a
LAC9	SEEG	uV	512	n/a	good	n/a
LAC10	SEEG	uV	512	n/a	good	n/a
LHT1	SEEG	uV	512	n/a	good	n/a
LHT2	SEEG	uV	512	n/a	good	n/a
LHT3	SEEG	uV	512	n/a	good	n/a
LHT4	SEEG	uV	512	n/a	good	n/a
LHT5	SEEG	uV	512	n/a	good	n/a
LHT6	SEEG	uV	512	n/a	good	n/a
LHT7	SEEG	uV	512	n/a	good	n/a
LHT8	SEEG	uV	512	n/a	good	n/a
LHT9	SEEG	uV	512	n/a	good	n/a
LHT10	SEEG	uV	512	n/a	good	n/a
LSTGP1	SEEG	uV	512	n/a	good	n/a
LSTGP2	SEEG	uV	512	n/a	good	n/a
LSTGP3	SEEG	uV	512	n/a	good	n/a
LSTGP4	SEEG	uV	512	n/a	good	n/a
LSTGP5	SEEG	uV	512	n/a	good	n/a
LSTGP6	SEEG	uV	512	n/a	good	n/a
LSTGP7	SEEG	uV	512	n/a	good	n/a
LSTGP8	SEEG	uV	512	n/a	good	n/a
LSTGP9	SEEG	uV	512	n/a	good	n/a
LSTGP10	SEEG	uV	512	n/a	good	n/a
LHH1	SEEG	uV	512	n/a	good	n/a
LHH2	SEEG	uV	512	n/a	good	n/a
LHH3	SEEG	uV	512	n/a	good	n/a
LHH4	SEEG	uV	512	n/a	good	n/a
LHH5	SEEG	uV	512	n/a	good	n/a
LHH6	SEEG	uV	512	n/a	good	n/a
LHH7	SEEG	uV	512	n/a	good	n/a
LHH8	SEEG	uV	512	n/a	good	n/a
LHH9	SEEG	uV	512	n/a	good	n/a
LHH10	SEEG	uV	512	n/a	good	n/a
LA1	SEEG	uV	512	n/a	good	n/a
LA2	SEEG	uV	512	n/a	good	n/a
LA3	SEEG	uV	512	n/a	good	n/a
LA4	SEEG	uV	512	n/a	good	n/a
LA5	SEEG	uV	512	n/a	good	n/a
LA6	SEEG	uV	512	n/a	good	n/a
LA7	SEEG	uV	512	n/a	good	n/a
LA8	SEEG	uV	512	n/a	good	n/a
LA9	SEEG	uV	512	n/a	good	n/a
LA10	SEEG	uV	512	n/a	good	n/a
RPC1	SEEG	uV	512	n/a	good	n/a
RPC2	SEEG	uV	512	n/a	good	n/a
RPC3	SEEG	uV	512	n/a	good	n/a
RPC4	SEEG	uV	512	n/a	good	n/a
RPC5	SEEG	uV	512	n/a	good	n/a
