name	type	units	low_cutoff	high_cutoff	status	status_description
Trigger Event	MISC	n/a	512	n/a	bad	noise
LMEG1	SEEG	uV	512	n/a	good	n/a
LMEG2	SEEG	uV	512	n/a	good	n/a
LMEG3	SEEG	uV	512	n/a	good	n/a
LMEG4	SEEG	uV	512	n/a	good	n/a
LMEG5	SEEG	uV	512	n/a	good	n/a
LMEG6	SEEG	uV	512	n/a	good	n/a
LMEG7	SEEG	uV	512	n/a	good	n/a
LMEG8	SEEG	uV	512	n/a	good	n/a
LMEG9	SEEG	uV	512	n/a	good	n/a
LMEG10	SEEG	uV	512	n/a	good	n/a
LMEG11	SEEG	uV	512	n/a	good	n/a
LMEG12	SEEG	uV	512	n/a	good	n/a
LMEG13	SEEG	uV	512	n/a	good	n/a
LMEG14	SEEG	uV	512	n/a	good	n/a
LMEG15	SEEG	uV	512	n/a	good	n/a
LMEG16	SEEG	uV	512	n/a	good	n/a
LSMA1	SEEG	uV	512	n/a	good	n/a
LSMA2	SEEG	uV	512	n/a	good	n/a
LSMA3	SEEG	uV	512	n/a	good	n/a
LSMA4	SEEG	uV	512	n/a	good	n/a
LSMA5	SEEG	uV	512	n/a	good	n/a
LSMA6	SEEG	uV	512	n/a	good	n/a
LSMA7	SEEG	uV	512	n/a	good	n/a
LSMA8	SEEG	uV	512	n/a	good	n/a
LSMA9	SEEG	uV	512	n/a	good	n/a
LSMA10	SEEG	uV	512	n/a	good	n/a
LSMA11	SEEG	uV	512	n/a	good	n/a
LSMA12	SEEG	uV	512	n/a	good	n/a
LSMA13	SEEG	uV	512	n/a	good	n/a
LSMA14	SEEG	uV	512	n/a	good	n/a
LPPV1	SEEG	uV	512	n/a	good	n/a
LPPV2	SEEG	uV	512	n/a	good	n/a
LPPV3	SEEG	uV	512	n/a	good	n/a
LPPV4	SEEG	uV	512	n/a	good	n/a
LPPV5	SEEG	uV	512	n/a	good	n/a
LPPV6	SEEG	uV	512	n/a	good	n/a
LPPV7	SEEG	uV	512	n/a	good	n/a
LPPV8	SEEG	uV	512	n/a	good	n/a
LPPV9	SEEG	uV	512	n/a	good	n/a
LPPV10	SEEG	uV	512	n/a	good	n/a
LPPV11	SEEG	uV	512	n/a	good	n/a
LPPV12	SEEG	uV	512	n/a	good	n/a
LPPV13	SEEG	uV	512	n/a	good	n/a
LPPV14	SEEG	uV	512	n/a	good	n/a
LPPV15	SEEG	uV	512	n/a	good	n/a
LPPV16	SEEG	uV	512	n/a	good	n/a
LTH1	SEEG	uV	512	n/a	good	n/a
LTH2	SEEG	uV	512	n/a	good	n/a
LTH3	SEEG	uV	512	n/a	good	n/a
LTH4	SEEG	uV	512	n/a	good	n/a
LTH5	SEEG	uV	512	n/a	good	n/a
LTH6	SEEG	uV	512	n/a	good	n/a
LTH7	SEEG	uV	512	n/a	good	n/a
LTH8	SEEG	uV	512	n/a	good	n/a
LTH9	SEEG	uV	512	n/a	good	n/a
LTH10	SEEG	uV	512	n/a	good	n/a
LTH11	SEEG	uV	512	n/a	good	n/a
LTH12	SEEG	uV	512	n/a	good	n/a
LTH13	SEEG	uV	512	n/a	good	n/a
LTH14	SEEG	uV	512	n/a	good	n/a
LTH15	SEEG	uV	512	n/a	good	n/a
LTH16	SEEG	uV	512	n/a	good	n/a
C63	SEEG	uV	512	n/a	good	n/a
C63	OTHER	uV	512	n/a	bad	noise
C64	SEEG	uV	512	n/a	good	n/a
C64	OTHER	uV	512	n/a	bad	noise
LMEGOF1	SEEG	uV	512	n/a	good	n/a
LMEGOF2	SEEG	uV	512	n/a	good	n/a
LMEGOF3	SEEG	uV	512	n/a	good	n/a
LMEGOF4	SEEG	uV	512	n/a	good	n/a
