Time	Action
259.721	Played welcome_normed.wav
268.638	Played instructions1_normed.wav
306.262	Played instructions2_clipped_normed.wav
329.944	Played instructions3_normed.wav
337.562	Played excerpts/Block1\s2102a-ex01_normed.wav
366.539	Played s2102a-ex01_question_normed.wav
394.495	Played excerpts/Block1\s3001b-ex01_normed.wav
444.559	Played s3001b-ex01_question_normed.wav
464.155	Played excerpts/Block1\s4002b-ex01_normed.wav
499.169	Played s4002b-ex01_question_normed.wav
510.881	Played excerpts/Block1\s1303a-ex01_normed.wav
545.891	Played s1303a-ex01_question_normed.wav
583.139	Played excerpts/Block1\s1401a-ex01_normed.wav
619.075	Played s1401a-ex01_question_normed.wav
628.184	Played excerpts/Block1\s3602b-ex01_normed.wav
664.213	Played s3602b-ex01_question_normed.wav
675.08	Played excerpts/Block1\s2301a-ex01_normed.wav
698.026	Played s2301a-ex01_question_normed.wav
707.033	Played excerpts/Block1\s1901b-ex01_normed.wav
745.018	Played s1901b-ex01_question_normed.wav
755.056	Played catalan-m01_normed.wav
930.04	Played excerpts/Block2\s1201a-ex01_normed.wav
965.052	Played s1201a-ex01_question_normed.wav
973.599	Played excerpts/Block2\s0703b-ex01_normed.wav
1013.63	Played s0703b-ex01_question_normed.wav
1022.548	Played excerpts/Block2\s4003b-ex01_normed.wav
1048.551	Played s4003b-ex01_question_normed.wav
1057.753	Played catalan-f01_normed.wav
1116.353	Played excerpts/Block2\s2102a-ex02_normed.wav
1153.324	Played s2102a-ex02_question_normed.wav
1168.365	Played excerpts/Block2\s3301a-ex01_normed.wav
1194.373	Played s3301a-ex01_question_normed.wav
1203.293	Played excerpts/Block2\s2202b-ex02_normed.wav
1258.366	Played s2202b-ex02_question_normed.wav
1269.981	Played excerpts/Block2\s3602b-ex02_normed.wav
1303.043	Played s3602b-ex02_question_normed.wav
1310.564	Played excerpts/Block2\s3903b-ex01_normed.wav
1337.596	Played s3903b-ex01_question_normed.wav
