Time	Action
53.8276445202	Pressed SPACE
54.3418849909	Played welcome_normed.wav
60.4837884282	Pressed SPACE
60.99510891	Played instructions1_normed.wav
107.379803968	Pressed SPACE
107.890508465	Played instructions2_normed.wav
142.995891219	Pressed SPACE
143.50711768	Played instructions3_normed.wav
150.947902125	Pressed SPACE
151.471103377	Played excerpts/Block 1\s1401a-ex01_normed.wav
187.480946619	Played s1401a-ex01_question_normed.wav
197.475926507	Pressed SPACE
203.715975959	Pressed SPACE
204.747820931	Played excerpts/Block 1\catalan-m01_normed.wav
251.757599534	Played catalan-m01_question_normed.wav
259.364167503	Pressed SPACE
266.963931788	Pressed SPACE
267.99408823	Played excerpts/Block 1\s3602b-ex01_normed.wav
304.002670376	Played s3602b-ex01_question_normed.wav
335.092669088	Clicked QUIT
