Time	Action
116.342397401	Pressed SPACE
116.854202909	Played welcome_normed.wav
121.637981555	Pressed SPACE
122.148255151	Played instructions1_normed.wav
161.317948638	Pressed SPACE
161.828321363	Played instructions2_clipped_normed.wav
176.832009602	Played pleasePressSpace_sined.wav
183.206085339	Pressed SPACE
183.716074575	Played instructions3_normed.wav
191.062034004	Pressed SPACE
191.584107358	Played excerpts/Block 1\s2102a-ex01_normed.wav
220.595240291	Played s2102a-ex01_question_normed.wav
231.445979025	Pressed SPACE
231.451325132	Played NO_SPEECH
237.473976275	Played excerpts/Block 1\s3602b-ex01_normed.wav
273.486502644	Played s3602b-ex01_question_normed.wav
289.06196681	Pressed SPACE
289.067192327	Played NO_SPEECH
295.087282959	Played excerpts/Block 1\s2301a-ex01_normed.wav
318.096517353	Played s2301a-ex01_question_normed.wav
325.558106244	Pressed SPACE
325.563026706	Played NO_SPEECH
331.588499981	Played excerpts/Block 1\s3001b-ex01_normed.wav
381.602821161	Played s3001b-ex01_question_normed.wav
389.718102391	Pressed SPACE
389.722749992	Played NO_SPEECH
395.746305821	Played excerpts/Block 1\s1303a-ex01_normed.wav
430.759247105	Played s1303a-ex01_question_normed.wav
439.445980047	Pressed SPACE
439.450456214	Played NO_SPEECH
445.473798455	Played excerpts/Block 1\s1401a-ex01_normed.wav
481.484949782	Played s1401a-ex01_question_normed.wav
490.166161352	Pressed SPACE
490.171095866	Played NO_SPEECH
496.193565612	Played excerpts/Block 1\s4002b-ex01_normed.wav
531.206761874	Played s4002b-ex01_question_normed.wav
538.806031482	Pressed SPACE
538.810787665	Played NO_SPEECH
544.82744197	Played excerpts/Block 1\catalan-m01_normed.wav
548.842531916	Played catalan-m01_question_normed.wav
603.973938335	Pressed SPACE
603.978564985	Played NO_SPEECH
610.001211273	Played excerpts/Block 1\s1901b-ex01_normed.wav
648.013664318	Played s1901b-ex01_question_normed.wav
661.814043361	Pressed SPACE
661.81855683	Played NO_SPEECH
672.837940524	Pressed SPACE
673.361616816	Played excerpts/Block 2\s2102a-ex02_normed.wav
710.374502914	Played s2102a-ex02_question_normed.wav
715.846058686	Pressed SPACE
715.850892027	Played NO_SPEECH
