Time	Action
721.874616735	Played excerpts/Block 2\s0703b-ex01_normed.wav
761.886283384	Played s0703b-ex01_question_normed.wav
767.221865616	Pressed SPACE
767.226582709	Played NO_SPEECH
773.248565749	Played excerpts/Block 2\s3301a-ex01_normed.wav
799.258356342	Played s3301a-ex01_question_normed.wav
803.989997606	Pressed SPACE
803.994390228	Played NO_SPEECH
810.016878625	Played excerpts/Block 2\s1201a-ex01_normed.wav
845.028858503	Played s1201a-ex01_question_normed.wav
850.597931868	Pressed SPACE
850.602520961	Played NO_SPEECH
856.62794186	Played excerpts/Block 2\s2202b-ex02_normed.wav
911.643838896	Played s2202b-ex02_question_normed.wav
921.798286333	Pressed SPACE
921.803189167	Played NO_SPEECH
927.827554641	Played excerpts/Block 2\s3602b-ex02_normed.wav
960.839363597	Played s3602b-ex02_question_normed.wav
969.781901313	Pressed SPACE
969.786483764	Played NO_SPEECH
975.807766763	Played excerpts/Block 2\s4003b-ex01_normed.wav
1001.81787391	Played s4003b-ex01_question_normed.wav
1008.42193393	Pressed SPACE
1008.42699262	Played NO_SPEECH
1014.44781701	Played excerpts/Block 2\s3903b-ex01_normed.wav
1041.45787664	Played s3903b-ex01_question_normed.wav
1047.39780453	Pressed SPACE
1047.40272423	Played NO_SPEECH
1053.42041096	Played excerpts/Block 2\catalan-f01_normed.wav
1057.4357679	Played catalan-f01_question_normed.wav
1109.47797877	Pressed SPACE
1109.48294573	Played NO_SPEECH
1119.20586613	Pressed SPACE
1119.7382569	Played excerpts/Block 3\s3201a-ex01_normed.wav
1197.75585242	Played s3201a-ex01_question_normed.wav
1204.30998581	Pressed SPACE
1204.31514822	Played NO_SPEECH
1210.34040765	Played excerpts/Block 3\s1501a-ex01_normed.wav
1254.35386732	Played s1501a-ex01_question_normed.wav
1264.18191455	Pressed SPACE
1264.18638484	Played NO_SPEECH
1270.20875341	Played excerpts/Block 3\s3903b-ex02_normed.wav
1303.2209663	Played s3903b-ex02_question_normed.wav
1311.31782089	Pressed SPACE
1311.32228454	Played NO_SPEECH
1317.34557313	Played excerpts/Block 3\s3301a-ex02_normed.wav
1355.35947505	Played s3301a-ex02_question_normed.wav
1361.3019397	Pressed SPACE
1361.30671198	Played NO_SPEECH
1367.32912705	Played excerpts/Block 3\s1303a-ex02_normed.wav
1397.34075512	Played s1303a-ex02_question_normed.wav
1407.76584281	Pressed SPACE
1407.77073466	Played NO_SPEECH
1413.78788129	Played excerpts/Block 3\catalan-m02_normed.wav
1417.80309642	Played catalan-m02_question_normed.wav
1475.87781699	Pressed SPACE
1475.88227808	Played NO_SPEECH
1481.90554291	Played excerpts/Block 3\s1401a-ex02_normed.wav
1518.91695381	Played s1401a-ex02_question_normed.wav
1525.3658472	Pressed SPACE
1525.37045674	Played NO_SPEECH
1531.395115	Played excerpts/Block 3\s1001a-ex01_normed.wav
1573.40848806	Played s1001a-ex01_question_normed.wav
1580.21396564	Pressed SPACE
1580.21868325	Played NO_SPEECH
1586.24056128	Played excerpts/Block 3\s3703b-ex01_normed.wav
1622.2554872	Played s3703b-ex01_question_normed.wav
1637.18986562	Pressed SPACE
1637.19487142	Played NO_SPEECH
1647.26976469	Pressed SPACE
1647.79198623	Played excerpts/Block 4\s3802a-ex01_normed.wav
1682.8057765	Played s3802a-ex01_question_normed.wav
1690.40584094	Pressed SPACE
1690.4104727	Played NO_SPEECH
1696.42788683	Played excerpts/Block 4\catalan-f02_normed.wav
1700.44167225	Played catalan-f02_question_normed.wav
1749.47779916	Pressed SPACE
1749.48244216	Played NO_SPEECH
1755.51040364	Played excerpts/Block 4\s2801a-ex01_normed.wav
1816.52809957	Played s2801a-ex01_question_normed.wav
1821.47779711	Pressed SPACE
1821.48228018	Played NO_SPEECH
1827.51004979	Played excerpts/Block 4\s0202b-ex01_normed.wav
1884.52698717	Played s0202b-ex01_question_normed.wav
1900.9497397	Pressed SPACE
1900.95455055	Played NO_SPEECH
1906.97736444	Played excerpts/Block 4\s3102b-ex01_normed.wav
1927.98739417	Played s3102b-ex01_question_normed.wav
1934.58181843	Pressed SPACE
1934.58672229	Played NO_SPEECH
1940.60866624	Played excerpts/Block 4\s3902a-ex01_normed.wav
1972.62182392	Played s3902a-ex01_question_normed.wav
1980.88578952	Pressed SPACE
1980.89032982	Played NO_SPEECH
1986.91544106	Played excerpts/Block 4\s2102a-ex03_normed.wav
2032.92949296	Played s2102a-ex03_question_normed.wav
2045.30177823	Pressed SPACE
2045.30626129	Played NO_SPEECH
2051.33214565	Played excerpts/Block 4\s1604a-ex01_normed.wav
2098.34611349	Played s1604a-ex01_question_normed.wav
2107.52582777	Pressed SPACE
2107.53086396	Played NO_SPEECH
2113.55400922	Played excerpts/Block 4\s0702a-ex01_normed.wav
2144.56493802	Played s0702a-ex01_question_normed.wav
2151.10973533	Pressed SPACE
2151.1146259	Played NO_SPEECH
2160.86974149	Pressed SPACE
2161.3957389	Played excerpts/Block 5\s1703b-ex01_normed.wav
2215.41109839	Played s1703b-ex01_question_normed.wav
2230.37382893	Pressed SPACE
2230.37870494	Played NO_SPEECH
2236.40221121	Played excerpts/Block 5\s0802b-ex01_normed.wav
2266.41303934	Played s0802b-ex01_question_normed.wav
2274.43781283	Pressed SPACE
2274.4422798	Played NO_SPEECH
2280.46805864	Played excerpts/Block 5\s1401b-ex01_normed.wav
2335.48411995	Played s1401b-ex01_question_normed.wav
2342.45373823	Pressed SPACE
2342.4585966	Played NO_SPEECH
2348.48190563	Played excerpts/Block 5\s3003a-ex01_normed.wav
2382.49222892	Played s3003a-ex01_question_normed.wav
2390.50169172	Pressed SPACE
2390.50650513	Played NO_SPEECH
2396.53086677	Played excerpts/Block 5\s1202b-ex01_normed.wav
2431.54177718	Played s1202b-ex01_question_normed.wav
2440.21368052	Pressed SPACE
2440.21805372	Played NO_SPEECH
2446.23673763	Played excerpts/Block 5\s1503a-ex01_normed.wav
2463.24534557	Played s1503a-ex01_question_normed.wav
2469.47770105	Pressed SPACE
2469.48219638	Played NO_SPEECH
2475.50924091	Played excerpts/Block 5\s1103a-ex01_normed.wav
2530.52407332	Played s1103a-ex01_question_normed.wav
2543.20581784	Pressed SPACE
2543.21052727	Played NO_SPEECH
2549.23557413	Played excerpts/Block 5\s0203b-ex01_normed.wav
2592.24935776	Played s0203b-ex01_question_normed.wav
2600.91769192	Pressed SPACE
2600.92226134	Played NO_SPEECH
2606.93992968	Played excerpts/Block 5\catalan-m03_normed.wav
2610.95577716	Played catalan-m03_question_normed.wav
2665.46163309	Pressed SPACE
2665.46657655	Played NO_SPEECH
2675.0936592	Pressed SPACE
2675.6176408	Played excerpts/Block 6\s0305a-ex01_normed.wav
2719.63112168	Played s0305a-ex01_question_normed.wav
2727.54169184	Pressed SPACE
2727.54686013	Played NO_SPEECH
2733.57135769	Played excerpts/Block 6\s2302b-ex01_normed.wav
2769.58250238	Played s2302b-ex01_question_normed.wav
2776.19776227	Pressed SPACE
2776.20236849	Played NO_SPEECH
2782.22516015	Played excerpts/Block 6\s3801a-ex01_normed.wav
2816.23866887	Played s3801a-ex01_question_normed.wav
2826.10171374	Pressed SPACE
2826.10663369	Played NO_SPEECH
2832.13628038	Played excerpts/Block 6\s1503a-ex02_normed.wav
2860.14676003	Played s1503a-ex02_question_normed.wav
2868.27765266	Pressed SPACE
2868.28231993	Played NO_SPEECH
2874.29894639	Played excerpts/Block 6\catalan-f03_normed.wav
2878.31567172	Played catalan-f03_question_normed.wav
2935.65363332	Pressed SPACE
2935.65849988	Played NO_SPEECH
2941.68264282	Played excerpts/Block 6\s1702b-ex01_normed.wav
2983.69576346	Played s1702b-ex01_question_normed.wav
2990.80570931	Pressed SPACE
2990.81026059	Played NO_SPEECH
2996.83578675	Played excerpts/Block 6\s3003a-ex02_normed.wav
3041.8476933	Played s3003a-ex02_question_normed.wav
3047.74969437	Pressed SPACE
3047.75410513	Played NO_SPEECH
3053.77696067	Played excerpts/Block 6\s0901b-ex01_normed.wav
3090.78985647	Played s0901b-ex01_question_normed.wav
3100.13363607	Pressed SPACE
3100.1383151	Played NO_SPEECH
3106.16120078	Played excerpts/Block 6\s1203a-ex01_normed.wav
3141.17408509	Played s1203a-ex01_question_normed.wav
3147.46168138	Pressed SPACE
3147.4662158	Played NO_SPEECH
3155.71757481	Pressed SPACE
