Time	Action
108.500408654	Pressed SPACE
109.012190395	Played welcome_normed.wav
117.700280144	Pressed SPACE
118.210488073	Played instructions1_normed.wav
159.636339458	Pressed SPACE
160.146717288	Played instructions2_clipped_normed.wav
175.150396838	Played pleasePressSpace_sined.wav
217.108229935	Pressed SPACE
217.618278184	Played instructions3_normed.wav
343.7974213509	Clicked BK.1
344.32028952	Played excerpts/Block 1\s1401a-ex01_normed.wav
380.3314479959	Played s1401a-ex01_question_normed.wav
419.2612118092	Pressed SPACE
420.2851334865	Played excerpts/Block 1\s3001b-ex01_normed.wav
470.300258938	Played s3001b-ex01_question_normed.wav
484.653236724	Pressed SPACE
485.67504602	Played excerpts/Block 1\s4002b-ex01_normed.wav
520.685792392	Played s4002b-ex01_question_normed.wav
539.389128949	Pressed SPACE
540.409577511	Played excerpts/Block 1\s2102a-ex01_normed.wav
569.419858638	Played s2102a-ex01_question_normed.wav
600.909122357	Pressed SPACE
601.924899305	Played excerpts/Block 1\catalan-m01_normed.wav
605.942147358	Played catalan-m01_question_normed.wav
633.836945988	Pressed SPACE
634.85553638	Played excerpts/Block 1\s2301a-ex01_normed.wav
657.865188493	Played s2301a-ex01_question_normed.wav
663.789535943	Clicked QUIT
