name	type	units	low_cutoff	high_cutoff	status	status_description
LIP1	SEEG	uV	512	n/a	good	n/a
LIP2	SEEG	uV	512	n/a	good	n/a
LIP3	SEEG	uV	512	n/a	good	n/a
LIP4	SEEG	uV	512	n/a	good	n/a
LIP5	SEEG	uV	512	n/a	good	n/a
LIP6	SEEG	uV	512	n/a	good	n/a
LIP7	SEEG	uV	512	n/a	good	n/a
LIP8	SEEG	uV	512	n/a	good	n/a
LIP9	SEEG	uV	512	n/a	good	n/a
LIP10	SEEG	uV	512	n/a	good	n/a
LIP11	SEEG	uV	512	n/a	good	n/a
LIP12	SEEG	uV	512	n/a	good	n/a
LIP13	SEEG	uV	512	n/a	good	n/a
LIP14	SEEG	uV	512	n/a	good	n/a
LIP15	SEEG	uV	512	n/a	good	n/a
LIP16	SEEG	uV	512	n/a	good	n/a
LIM1	SEEG	uV	512	n/a	good	n/a
LIM2	SEEG	uV	512	n/a	good	n/a
LIM3	SEEG	uV	512	n/a	good	n/a
LIM4	SEEG	uV	512	n/a	good	n/a
LIM5	SEEG	uV	512	n/a	good	n/a
LIM6	SEEG	uV	512	n/a	good	n/a
LIM7	SEEG	uV	512	n/a	good	n/a
LIM8	SEEG	uV	512	n/a	good	n/a
LIM9	SEEG	uV	512	n/a	good	n/a
LIM10	SEEG	uV	512	n/a	good	n/a
LIM11	SEEG	uV	512	n/a	good	n/a
LIM12	SEEG	uV	512	n/a	good	n/a
LIM13	SEEG	uV	512	n/a	good	n/a
LIM14	SEEG	uV	512	n/a	good	n/a
LIM15	SEEG	uV	512	n/a	good	n/a
LIM16	SEEG	uV	512	n/a	good	n/a
LIA1	SEEG	uV	512	n/a	good	n/a
LIA2	SEEG	uV	512	n/a	good	n/a
LIA3	SEEG	uV	512	n/a	good	n/a
LIA4	SEEG	uV	512	n/a	good	n/a
LIA5	SEEG	uV	512	n/a	good	n/a
LIA6	SEEG	uV	512	n/a	good	n/a
LIA7	SEEG	uV	512	n/a	good	n/a
LIA8	SEEG	uV	512	n/a	good	n/a
LIA9	SEEG	uV	512	n/a	good	n/a
LIA10	SEEG	uV	512	n/a	good	n/a
LIA11	SEEG	uV	512	n/a	good	n/a
LIA12	SEEG	uV	512	n/a	good	n/a
LIA13	SEEG	uV	512	n/a	good	n/a
LIA14	SEEG	uV	512	n/a	good	n/a
LIA15	SEEG	uV	512	n/a	good	n/a
LIA16	SEEG	uV	512	n/a	good	n/a
LPC1	SEEG	uV	512	n/a	good	n/a
LPC2	SEEG	uV	512	n/a	good	n/a
LPC3	SEEG	uV	512	n/a	good	n/a
LPC4	SEEG	uV	512	n/a	good	n/a
LPC5	SEEG	uV	512	n/a	good	n/a
LPC6	SEEG	uV	512	n/a	good	n/a
LPC7	SEEG	uV	512	n/a	good	n/a
LPC8	SEEG	uV	512	n/a	good	n/a
LPC9	SEEG	uV	512	n/a	good	n/a
LPC10	SEEG	uV	512	n/a	good	n/a
LPC11	SEEG	uV	512	n/a	good	n/a
LPC12	SEEG	uV	512	n/a	good	n/a
LPC13	SEEG	uV	512	n/a	good	n/a
LPC14	SEEG	uV	512	n/a	good	n/a
C63	OTHER	uV	512	n/a	bad	noise
C64	OTHER	uV	512	n/a	bad	noise
RIP1	SEEG	uV	512	n/a	good	n/a
RIP2	SEEG	uV	512	n/a	good	n/a
RIP3	SEEG	uV	512	n/a	good	n/a
RIP4	SEEG	uV	512	n/a	good	n/a
RIP5	SEEG	uV	512	n/a	good	n/a
RIP6	SEEG	uV	512	n/a	good	n/a
RIP7	SEEG	uV	512	n/a	good	n/a
RIP8	SEEG	uV	512	n/a	good	n/a
RIP9	SEEG	uV	512	n/a	good	n/a
RIP10	SEEG	uV	512	n/a	good	n/a
RIP11	SEEG	uV	512	n/a	good	n/a
RIP12	SEEG	uV	512	n/a	good	n/a
RIP13	SEEG	uV	512	n/a	good	n/a
RIP14	SEEG	uV	512	n/a	good	n/a
RIP15	SEEG	uV	512	n/a	good	n/a
RIP16	SEEG	uV	512	n/a	good	n/a
RIA1	SEEG	uV	512	n/a	good	n/a
RIA2	SEEG	uV	512	n/a	good	n/a
RIA3	SEEG	uV	512	n/a	good	n/a
RIA4	SEEG	uV	512	n/a	good	n/a
RIA5	SEEG	uV	512	n/a	good	n/a
RIA6	SEEG	uV	512	n/a	good	n/a
RIA7	SEEG	uV	512	n/a	good	n/a
RIA8	SEEG	uV	512	n/a	good	n/a
RIA9	SEEG	uV	512	n/a	good	n/a
RIA10	SEEG	uV	512	n/a	good	n/a
RIA11	SEEG	uV	512	n/a	good	n/a
RIA12	SEEG	uV	512	n/a	good	n/a
RIA13	SEEG	uV	512	n/a	good	n/a
RIA14	SEEG	uV	512	n/a	good	n/a
RIA15	SEEG	uV	512	n/a	good	n/a
RIA16	SEEG	uV	512	n/a	good	n/a
RPC1	SEEG	uV	512	n/a	good	n/a
RPC2	SEEG	uV	512	n/a	good	n/a
RPC3	SEEG	uV	512	n/a	good	n/a
RPC4	SEEG	uV	512	n/a	good	n/a
RPC5	SEEG	uV	512	n/a	good	n/a
RPC6	SEEG	uV	512	n/a	good	n/a
RPC7	SEEG	uV	512	n/a	good	n/a
RPC8	SEEG	uV	512	n/a	good	n/a
RPC9	SEEG	uV	512	n/a	good	n/a
RPC10	SEEG	uV	512	n/a	good	n/a
RPC11	SEEG	uV	512	n/a	good	n/a
RPC12	SEEG	uV	512	n/a	good	n/a
RPC13	SEEG	uV	512	n/a	good	n/a
RPC14	SEEG	uV	512	n/a	good	n/a
RPC15	SEEG	uV	512	n/a	good	n/a
RPC16	SEEG	uV	512	n/a	good	n/a
LOF1	SEEG	uV	512	n/a	good	n/a
LOF2	SEEG	uV	512	n/a	good	n/a
LOF3	SEEG	uV	512	n/a	good	n/a
LOF4	SEEG	uV	512	n/a	good	n/a
LOF5	SEEG	uV	512	n/a	good	n/a
LOF6	SEEG	uV	512	n/a	good	n/a
LOF7	SEEG	uV	512	n/a	good	n/a
LOF8	SEEG	uV	512	n/a	good	n/a
LOF9	SEEG	uV	512	n/a	good	n/a
LOF10	SEEG	uV	512	n/a	good	n/a
LOF11	SEEG	uV	512	n/a	good	n/a
LOF12	SEEG	uV	512	n/a	good	n/a
LOF13	SEEG	uV	512	n/a	good	n/a
LOF14	SEEG	uV	512	n/a	good	n/a
LOF15	SEEG	uV	512	n/a	good	n/a
LOF16	SEEG	uV	512	n/a	good	n/a
LHB1	SEEG	uV	512	n/a	good	n/a
LHB2	SEEG	uV	512	n/a	good	n/a
LHB3	SEEG	uV	512	n/a	good	n/a
LHB4	SEEG	uV	512	n/a	good	n/a
LHB5	SEEG	uV	512	n/a	good	n/a
LHB6	SEEG	uV	512	n/a	good	n/a
LHB7	SEEG	uV	512	n/a	good	n/a
LHB8	SEEG	uV	512	n/a	good	n/a
LHB9	SEEG	uV	512	n/a	good	n/a
LHB10	SEEG	uV	512	n/a	good	n/a
LHB11	SEEG	uV	512	n/a	good	n/a
LHB12	SEEG	uV	512	n/a	good	n/a
LHB13	SEEG	uV	512	n/a	good	n/a
LHB14	SEEG	uV	512	n/a	good	n/a
LHH1	SEEG	uV	512	n/a	good	n/a
LHH2	SEEG	uV	512	n/a	good	n/a
LHH3	SEEG	uV	512	n/a	good	n/a
LHH4	SEEG	uV	512	n/a	good	n/a
LHH5	SEEG	uV	512	n/a	good	n/a
LHH6	SEEG	uV	512	n/a	good	n/a
LHH7	SEEG	uV	512	n/a	good	n/a
LHH8	SEEG	uV	512	n/a	good	n/a
LHH9	SEEG	uV	512	n/a	good	n/a
LHH10	SEEG	uV	512	n/a	good	n/a
LHH11	SEEG	uV	512	n/a	good	n/a
LHH12	SEEG	uV	512	n/a	good	n/a
LHH13	SEEG	uV	512	n/a	good	n/a
LHH14	SEEG	uV	512	n/a	good	n/a
LHH15	SEEG	uV	512	n/a	good	n/a
LHH16	SEEG	uV	512	n/a	good	n/a
LA1	SEEG	uV	512	n/a	good	n/a
LA2	SEEG	uV	512	n/a	good	n/a
LA3	SEEG	uV	512	n/a	good	n/a
LA4	SEEG	uV	512	n/a	good	n/a
LA5	SEEG	uV	512	n/a	good	n/a
LA6	SEEG	uV	512	n/a	good	n/a
LA7	SEEG	uV	512	n/a	good	n/a
LA8	SEEG	uV	512	n/a	good	n/a
LA9	SEEG	uV	512	n/a	good	n/a
LA10	SEEG	uV	512	n/a	good	n/a
LA11	SEEG	uV	512	n/a	good	n/a
LA12	SEEG	uV	512	n/a	good	n/a
LA13	SEEG	uV	512	n/a	good	n/a
LA14	SEEG	uV	512	n/a	good	n/a
LA15	SEEG	uV	512	n/a	good	n/a
LA16	SEEG	uV	512	n/a	good	n/a
ROF1	SEEG	uV	512	n/a	good	n/a
