Time	Action
17.1629114847	Pressed SPACE
17.6752787005	Played welcome_normed.wav
20.8269478889	Pressed SPACE
21.3375371545	Played instructions1_normed.wav
58.0430829078	Pressed SPACE
58.5545142663	Played instructions2_clipped_normed.wav
73.5573335909	Played pleasePressSpace_sined.wav
79.2589532398	Pressed SPACE
79.7688460416	Played instructions3_normed.wav
86.9070294819	Pressed SPACE
87.4261112125	Played excerpts/Block 1\s2102a-ex01_normed.wav
116.43893882	Played s2102a-ex01_question_normed.wav
130.491065028	Pressed SPACE
131.516411612	Played excerpts/Block 1\s3001b-ex01_normed.wav
181.530783652	Played s3001b-ex01_question_normed.wav
188.827059027	Pressed SPACE
189.849070964	Played excerpts/Block 1\s1303a-ex01_normed.wav
224.860799712	Played s1303a-ex01_question_normed.wav
233.675170629	Pressed SPACE
234.698180507	Played excerpts/Block 1\s3602b-ex01_normed.wav
270.71001094	Played s3602b-ex01_question_normed.wav
278.155268266	Pressed SPACE
279.176657321	Played excerpts/Block 1\s1401a-ex01_normed.wav
315.188612432	Played s1401a-ex01_question_normed.wav
325.70718114	Pressed SPACE
326.730402053	Played excerpts/Block 1\s4002b-ex01_normed.wav
361.742603201	Played s4002b-ex01_question_normed.wav
370.827273893	Pressed SPACE
371.849001727	Played excerpts/Block 1\s1901b-ex01_normed.wav
409.860325013	Played s1901b-ex01_question_normed.wav
417.355374397	Pressed SPACE
418.371706807	Played excerpts/Block 1\catalan-m01_normed.wav
422.385985082	Played catalan-m01_question_normed.wav
471.243456024	Pressed SPACE
472.263704064	Played excerpts/Block 1\s2301a-ex01_normed.wav
495.274246064	Played s2301a-ex01_question_normed.wav
502.075471799	Pressed SPACE
522.555564072	Pressed SPACE
523.079466119	Played excerpts/Block 2\s3602b-ex02_normed.wav
556.089865812	Played s3602b-ex02_question_normed.wav
561.947515341	Pressed SPACE
562.96776849	Played excerpts/Block 2\s3301a-ex01_normed.wav
588.978042482	Played s3301a-ex01_question_normed.wav
594.379461674	Pressed SPACE
595.396538835	Played excerpts/Block 2\catalan-f01_normed.wav
599.410633159	Played catalan-f01_question_normed.wav
648.427686304	Pressed SPACE
649.447873792	Played excerpts/Block 2\s3903b-ex01_normed.wav
676.458755593	Played s3903b-ex01_question_normed.wav
682.651571336	Pressed SPACE
683.674264408	Played excerpts/Block 2\s2102a-ex02_normed.wav
720.686817109	Played s2102a-ex02_question_normed.wav
725.739784132	Pressed SPACE
726.763760527	Played excerpts/Block 2\s0703b-ex01_normed.wav
766.775735056	Played s0703b-ex01_question_normed.wav
772.203801528	Pressed SPACE
773.224537041	Played excerpts/Block 2\s4003b-ex01_normed.wav
799.235188646	Played s4003b-ex01_question_normed.wav
806.459723387	Pressed SPACE
807.484497164	Played excerpts/Block 2\s2202b-ex02_normed.wav
862.498187303	Played s2202b-ex02_question_normed.wav
870.987953679	Pressed SPACE
872.009885137	Played excerpts/Block 2\s1201a-ex01_normed.wav
907.022534924	Played s1201a-ex01_question_normed.wav
913.995899141	Pressed SPACE
1019.08442159	Clicked QUIT
