Time	Action
47.4390899886	Pressed SPACE
47.9533338903	Played welcome_normed.wav
52.0300238039	Pressed SPACE
52.5414680558	Played instructions1_normed.wav
91.5660729355	Pressed SPACE
92.0778375707	Played instructions2_normed.wav
115.550142678	Pressed SPACE
116.061744311	Played instructions3_normed.wav
125.998128031	Pressed SPACE
126.519807944	Played excerpts/Block 1\s4002b-ex01_normed.wav
161.5305321	Played s4002b-ex01_question_normed.wav
170.206233117	Pressed SPACE
175.486164625	Pressed SPACE
176.515371631	Played excerpts/Block 1\s1401a-ex01_normed.wav
212.524029901	Played s1401a-ex01_question_normed.wav
218.814190683	Pressed SPACE
224.366056124	Pressed SPACE
225.392055464	Played excerpts/Block 1\s2301a-ex01_normed.wav
248.399095211	Played s2301a-ex01_question_normed.wav
254.238149584	Pressed SPACE
257.58202772	Pressed SPACE
258.610866821	Played excerpts/Block 1\s1303a-ex01_normed.wav
293.619632397	Played s1303a-ex01_question_normed.wav
307.374176846	Pressed SPACE
318.734167914	Pressed SPACE
319.76657211	Played excerpts/Block 1\catalan-m01_normed.wav
366.775837168	Played catalan-m01_question_normed.wav
375.774276129	Pressed SPACE
384.974196621	Pressed SPACE
386.002976448	Played excerpts/Block 1\s2102a-ex01_normed.wav
415.010876683	Played s2102a-ex01_question_normed.wav
421.038177739	Pressed SPACE
423.566187906	Pressed SPACE
424.594127685	Played excerpts/Block 1\s3602b-ex01_normed.wav
460.601881269	Played s3602b-ex01_question_normed.wav
467.726288119	Pressed SPACE
468.974207607	Pressed SPACE
470.005549735	Played excerpts/Block 1\s1901b-ex01_normed.wav
508.014215415	Played s1901b-ex01_question_normed.wav
515.102315983	Pressed SPACE
517.006216561	Pressed SPACE
518.038704047	Played excerpts/Block 1\s3001b-ex01_normed.wav
568.048039108	Played s3001b-ex01_question_normed.wav
574.318308274	Pressed SPACE
576.686314802	Pressed SPACE
589.822313704	Pressed SPACE
590.34807991	Played excerpts/Block 2\catalan-f01_normed.wav
637.356608137	Played catalan-f01_question_normed.wav
653.966363324	Pressed SPACE
663.086210716	Pressed SPACE
664.115727374	Played excerpts/Block 2\s3602b-ex02_normed.wav
697.123220103	Played s3602b-ex02_question_normed.wav
705.070238302	Pressed SPACE
706.222255095	Pressed SPACE
707.249000718	Played excerpts/Block 2\s3903b-ex01_normed.wav
734.256283436	Played s3903b-ex01_question_normed.wav
739.342450207	Pressed SPACE
744.558327527	Pressed SPACE
745.584401725	Played excerpts/Block 2\s1201a-ex01_normed.wav
780.592950391	Played s1201a-ex01_question_normed.wav
785.662303423	Pressed SPACE
787.918359985	Pressed SPACE
788.951963447	Played excerpts/Block 2\s2202b-ex02_normed.wav
843.961861095	Played s2202b-ex02_question_normed.wav
853.310340845	Pressed SPACE
854.494404916	Pressed SPACE
855.524725854	Played excerpts/Block 2\s0703b-ex01_normed.wav
895.532450567	Played s0703b-ex01_question_normed.wav
900.190373885	Pressed SPACE
903.502366212	Pressed SPACE
904.530053568	Played excerpts/Block 2\s2102a-ex02_normed.wav
941.539799967	Played s2102a-ex02_question_normed.wav
