Time	Action
11.4462843342	Pressed SPACE
11.9588775142	Played welcome_normed.wav
15.5741256592	Pressed SPACE
16.0843752387	Played instructions1_normed.wav
52.5020851734	Pressed SPACE
53.0122087968	Played instructions2_clipped_normed.wav
68.0151502416	Played pleasePressSpace_sined.wav
72.1661823021	Pressed SPACE
72.6762297899	Played instructions3_normed.wav
79.4301565918	Pressed SPACE
79.9514259224	Played excerpts/Block 1\s3602b-ex01_normed.wav
115.963392005	Played s3602b-ex01_question_normed.wav
123.942179776	Pressed SPACE
124.964789018	Played excerpts/Block 1\s1303a-ex01_normed.wav
159.976706302	Played s1303a-ex01_question_normed.wav
168.902149761	Pressed SPACE
169.924127179	Played excerpts/Block 1\s1401a-ex01_normed.wav
205.936290244	Played s1401a-ex01_question_normed.wav
212.502175106	Pressed SPACE
213.522689849	Played excerpts/Block 1\s2102a-ex01_normed.wav
242.532957441	Played s2102a-ex01_question_normed.wav
249.654073529	Pressed SPACE
250.675231083	Played excerpts/Block 1\s4002b-ex01_normed.wav
285.687285565	Played s4002b-ex01_question_normed.wav
291.366094261	Pressed SPACE
292.382832111	Played excerpts/Block 1\catalan-m01_normed.wav
296.397396005	Played catalan-m01_question_normed.wav
351.478131548	Pressed SPACE
352.497905884	Played excerpts/Block 1\s2301a-ex01_normed.wav
375.508889356	Played s2301a-ex01_question_normed.wav
381.158185752	Pressed SPACE
382.182954388	Played excerpts/Block 1\s3001b-ex01_normed.wav
432.196982011	Played s3001b-ex01_question_normed.wav
439.030042439	Pressed SPACE
440.053614364	Played excerpts/Block 1\s1901b-ex01_normed.wav
478.064989501	Played s1901b-ex01_question_normed.wav
485.110137471	Pressed SPACE
769.782174431	Pressed SPACE
770.304242931	Played excerpts/Block 2\s0703b-ex01_normed.wav
810.314789261	Played s0703b-ex01_question_normed.wav
816.582010049	Pressed SPACE
817.602572059	Played excerpts/Block 2\s3903b-ex01_normed.wav
844.612068329	Played s3903b-ex01_question_normed.wav
849.766062273	Pressed SPACE
850.787052227	Played excerpts/Block 2\s1201a-ex01_normed.wav
885.798676976	Played s1201a-ex01_question_normed.wav
891.781961098	Pressed SPACE
892.801701965	Played excerpts/Block 2\s4003b-ex01_normed.wav
918.811299409	Played s4003b-ex01_question_normed.wav
925.061999002	Pressed SPACE
926.086469993	Played excerpts/Block 2\s3602b-ex02_normed.wav
959.09718188	Played s3602b-ex02_question_normed.wav
964.50199984	Pressed SPACE
965.521552157	Played excerpts/Block 2\s3301a-ex01_normed.wav
991.531286032	Played s3301a-ex01_question_normed.wav
998.901950991	Pressed SPACE
999.924423547	Played excerpts/Block 2\s2102a-ex02_normed.wav
1036.93648595	Played s2102a-ex02_question_normed.wav
1041.49403548	Pressed SPACE
1042.51036021	Played excerpts/Block 2\catalan-f01_normed.wav
1046.52447061	Played catalan-f01_question_normed.wav
1097.07795301	Pressed SPACE
1098.10357754	Played excerpts/Block 2\s2202b-ex02_normed.wav
1153.1185285	Played s2202b-ex02_question_normed.wav
1159.86199072	Pressed SPACE
1170.61403176	Pressed SPACE
1171.13727985	Played excerpts/Block 3\s3301a-ex02_normed.wav
1209.14866572	Played s3301a-ex02_question_normed.wav
1214.0219557	Pressed SPACE
1215.04333349	Played excerpts/Block 3\s3903b-ex02_normed.wav
1248.05494725	Played s3903b-ex02_question_normed.wav
1255.28599693	Pressed SPACE
1256.30138426	Played excerpts/Block 3\catalan-m02_normed.wav
1260.31729867	Played catalan-m02_question_normed.wav
1314.03804768	Pressed SPACE
1315.05995739	Played excerpts/Block 3\s1401a-ex02_normed.wav
1352.07318457	Played s1401a-ex02_question_normed.wav
1357.87800733	Pressed SPACE
1358.90848819	Played excerpts/Block 3\s3201a-ex01_normed.wav
1436.92591688	Played s3201a-ex01_question_normed.wav
1444.10194956	Pressed SPACE
1445.12325632	Played excerpts/Block 3\s1303a-ex02_normed.wav
1475.13472369	Played s1303a-ex02_question_normed.wav
1485.49387836	Pressed SPACE
1486.51524132	Played excerpts/Block 3\s3703b-ex01_normed.wav
1522.5271001	Played s3703b-ex01_question_normed.wav
1535.73386095	Pressed SPACE
1536.75776527	Played excerpts/Block 3\s1501a-ex01_normed.wav
1580.77131717	Played s1501a-ex01_question_normed.wav
1586.4699559	Pressed SPACE
1587.49277822	Played excerpts/Block 3\s1001a-ex01_normed.wav
1629.50637994	Played s1001a-ex01_question_normed.wav
1634.022016	Pressed SPACE
1640.30990533	Pressed SPACE
1640.83051627	Played excerpts/Block 4\s3902a-ex01_normed.wav
1672.84163285	Played s3902a-ex01_question_normed.wav
1681.66991615	Pressed SPACE
1682.69380948	Played excerpts/Block 4\s1604a-ex01_normed.wav
1729.70787491	Played s1604a-ex01_question_normed.wav
1735.12592056	Pressed SPACE
1736.15164242	Played excerpts/Block 4\s2801a-ex01_normed.wav
1797.16617719	Played s2801a-ex01_question_normed.wav
1806.80594462	Pressed SPACE
1807.8266939	Played excerpts/Block 4\s0702a-ex01_normed.wav
1838.83867786	Played s0702a-ex01_question_normed.wav
1843.9898742	Pressed SPACE
1845.01440294	Played excerpts/Block 4\s2102a-ex03_normed.wav
1891.02688511	Played s2102a-ex03_question_normed.wav
1894.91795738	Pressed SPACE
1895.93907354	Played excerpts/Block 4\s3802a-ex01_normed.wav
1930.94998752	Played s3802a-ex01_question_normed.wav
1938.67779134	Pressed SPACE
1939.70359113	Played excerpts/Block 4\s0202b-ex01_normed.wav
1996.71859446	Played s0202b-ex01_question_normed.wav
2002.80581457	Pressed SPACE
2003.82721305	Played excerpts/Block 4\s3102b-ex01_normed.wav
2024.83762167	Played s3102b-ex01_question_normed.wav
2030.2459222	Pressed SPACE
2031.26296434	Played excerpts/Block 4\catalan-f02_normed.wav
2035.27681568	Played catalan-f02_question_normed.wav
2082.14988517	Pressed SPACE
2086.74182608	Pressed SPACE
2087.2668723	Played excerpts/Block 5\s1401b-ex01_normed.wav
2142.28152587	Played s1401b-ex01_question_normed.wav
2156.5979173	Pressed SPACE
2157.62140722	Played excerpts/Block 5\s0203b-ex01_normed.wav
2200.63444176	Played s0203b-ex01_question_normed.wav
2208.62993442	Pressed SPACE
2209.65581724	Played excerpts/Block 5\s1103a-ex01_normed.wav
2264.67059319	Played s1103a-ex01_question_normed.wav
2270.21384914	Pressed SPACE
2271.23625808	Played excerpts/Block 5\s0802b-ex01_normed.wav
2301.24677733	Played s0802b-ex01_question_normed.wav
2307.97382771	Pressed SPACE
2308.9968115	Played excerpts/Block 5\s1202b-ex01_normed.wav
2344.00809542	Played s1202b-ex01_question_normed.wav
2350.46977552	Pressed SPACE
2351.49007617	Played excerpts/Block 5\s3003a-ex01_normed.wav
2385.50247045	Played s3003a-ex01_question_normed.wav
2390.66188	Pressed SPACE
2391.67896403	Played excerpts/Block 5\catalan-m03_normed.wav
2395.69366512	Played catalan-m03_question_normed.wav
2448.00585479	Pressed SPACE
2449.03115407	Played excerpts/Block 5\s1703b-ex01_normed.wav
2503.04611985	Played s1703b-ex01_question_normed.wav
2508.96589401	Pressed SPACE
2509.98470413	Played excerpts/Block 5\s1503a-ex01_normed.wav
2526.99226456	Played s1503a-ex01_question_normed.wav
2533.30180582	Pressed SPACE
2539.47787172	Pressed SPACE
2539.99369734	Played excerpts/Block 6\catalan-f03_normed.wav
2544.0102911	Played catalan-f03_question_normed.wav
2599.87785761	Pressed SPACE
2600.89944515	Played excerpts/Block 6\s1203a-ex01_normed.wav
2635.911016	Played s1203a-ex01_question_normed.wav
2645.42982752	Pressed SPACE
2646.45686005	Played excerpts/Block 6\s1503a-ex02_normed.wav
2674.46627252	Played s1503a-ex02_question_normed.wav
2680.88573485	Pressed SPACE
2681.90708836	Played excerpts/Block 6\s0901b-ex01_normed.wav
2718.92000921	Played s0901b-ex01_question_normed.wav
2725.73378456	Pressed SPACE
2726.75450063	Played excerpts/Block 6\s3801a-ex01_normed.wav
2760.76578916	Played s3801a-ex01_question_normed.wav
2771.50993763	Pressed SPACE
2772.53243139	Played excerpts/Block 6\s3003a-ex02_normed.wav
2817.54503211	Played s3003a-ex02_question_normed.wav
2822.56580106	Pressed SPACE
2823.58914867	Played excerpts/Block 6\s0305a-ex01_normed.wav
2867.60184621	Played s0305a-ex01_question_normed.wav
2874.37374232	Pressed SPACE
2875.39753269	Played excerpts/Block 6\s1702b-ex01_normed.wav
2917.41030356	Played s1702b-ex01_question_normed.wav
2923.14182909	Pressed SPACE
2924.16408653	Played excerpts/Block 6\s2302b-ex01_normed.wav
2960.17525676	Played s2302b-ex01_question_normed.wav
2966.14975257	Pressed SPACE
3001.06172052	Pressed SPACE
