Time	Action
63.0064245228	Pressed SPACE
63.5189586785	Played welcome_normed.wav
67.342532891	Pressed SPACE
67.8529590081	Played instructions1_normed.wav
104.574328224	Pressed SPACE
105.084752808	Played instructions2_clipped_normed.wav
120.087297988	Played pleasePressSpace_sined.wav
124.046353088	Pressed SPACE
124.556394184	Played instructions3_normed.wav
132.238357053	Pressed SPACE
132.756749569	Played excerpts/Block 1\s2301a-ex01_normed.wav
155.766657682	Played s2301a-ex01_question_normed.wav
177.102287519	Pressed SPACE
178.122628009	Played excerpts/Block 1\s2102a-ex01_normed.wav
207.13381229	Played s2102a-ex01_question_normed.wav
216.798302788	Pressed SPACE
217.81962972	Played excerpts/Block 1\s3602b-ex01_normed.wav
253.831943261	Played s3602b-ex01_question_normed.wav
265.198336768	Pressed SPACE
266.22358341	Played excerpts/Block 1\s3001b-ex01_normed.wav
316.237687162	Played s3001b-ex01_question_normed.wav
326.686315378	Pressed SPACE
327.708443524	Played excerpts/Block 1\s4002b-ex01_normed.wav
362.721495172	Played s4002b-ex01_question_normed.wav
371.870324586	Pressed SPACE
372.887450515	Played excerpts/Block 1\catalan-m01_normed.wav
376.902338617	Played catalan-m01_question_normed.wav
431.262167849	Pressed SPACE
432.28335324	Played excerpts/Block 1\s1901b-ex01_normed.wav
470.295839747	Played s1901b-ex01_question_normed.wav
759.917864164	Pressed SPACE
760.940380142	Played excerpts/Block 1\s1401a-ex01_normed.wav
796.95368498	Played s1401a-ex01_question_normed.wav
804.462033972	Pressed SPACE
805.483924769	Played excerpts/Block 1\s1303a-ex01_normed.wav
840.495188762	Played s1303a-ex01_question_normed.wav
850.893984387	Pressed SPACE
875.646024529	Pressed SPACE
876.164144949	Played excerpts/Block 2\catalan-f01_normed.wav
880.17798989	Played catalan-f01_question_normed.wav
958.58989005	Pressed SPACE
959.610231307	Played excerpts/Block 2\s3301a-ex01_normed.wav
985.622519299	Played s3301a-ex01_question_normed.wav
993.085785494	Pressed SPACE
994.106438447	Played excerpts/Block 2\s3903b-ex01_normed.wav
1021.11580007	Played s3903b-ex01_question_normed.wav
1028.02977953	Pressed SPACE
1029.05550674	Played excerpts/Block 2\s2202b-ex02_normed.wav
1084.07160075	Played s2202b-ex02_question_normed.wav
1095.74191333	Pressed SPACE
1096.76305989	Played excerpts/Block 2\s4003b-ex01_normed.wav
1122.77304874	Played s4003b-ex01_question_normed.wav
1133.54980359	Pressed SPACE
1134.57179837	Played excerpts/Block 2\s1201a-ex01_normed.wav
1169.58344662	Played s1201a-ex01_question_normed.wav
1176.15768185	Pressed SPACE
1177.18243335	Played excerpts/Block 2\s3602b-ex02_normed.wav
1210.19373209	Played s3602b-ex02_question_normed.wav
1222.97365501	Pressed SPACE
1223.99737332	Played excerpts/Block 2\s2102a-ex02_normed.wav
1261.00883429	Played s2102a-ex02_question_normed.wav
1266.82969343	Pressed SPACE
1267.85327377	Played excerpts/Block 2\s0703b-ex01_normed.wav
1307.86529886	Played s0703b-ex01_question_normed.wav
1315.64560578	Pressed SPACE
1700.11031013	Clicked QUIT
