name	type	units	low_cutoff	high_cutoff	status	status_description
LA1	SEEG	uV	512	n/a	good	n/a
LA2	SEEG	uV	512	n/a	good	n/a
LA3	SEEG	uV	512	n/a	good	n/a
LA4	SEEG	uV	512	n/a	good	n/a
LA5	SEEG	uV	512	n/a	good	n/a
LA6	SEEG	uV	512	n/a	good	n/a
LA7	SEEG	uV	512	n/a	good	n/a
LA8	SEEG	uV	512	n/a	good	n/a
LA9	SEEG	uV	512	n/a	good	n/a
LA10	SEEG	uV	512	n/a	good	n/a
LHH1	SEEG	uV	512	n/a	good	n/a
LHH2	SEEG	uV	512	n/a	good	n/a
LHH3	SEEG	uV	512	n/a	good	n/a
LHH4	SEEG	uV	512	n/a	good	n/a
LHH5	SEEG	uV	512	n/a	good	n/a
LHH6	SEEG	uV	512	n/a	good	n/a
LHH7	SEEG	uV	512	n/a	good	n/a
LHH8	SEEG	uV	512	n/a	good	n/a
LHH9	SEEG	uV	512	n/a	good	n/a
LHH10	SEEG	uV	512	n/a	good	n/a
LHT1	SEEG	uV	512	n/a	good	n/a
LHT2	SEEG	uV	512	n/a	good	n/a
LHT3	SEEG	uV	512	n/a	good	n/a
LHT4	SEEG	uV	512	n/a	good	n/a
LHT5	SEEG	uV	512	n/a	good	n/a
LHT6	SEEG	uV	512	n/a	good	n/a
LHT7	SEEG	uV	512	n/a	good	n/a
LHT8	SEEG	uV	512	n/a	good	n/a
LHT9	SEEG	uV	512	n/a	good	n/a
LHT10	SEEG	uV	512	n/a	good	n/a
LF1	SEEG	uV	512	n/a	good	n/a
LF2	SEEG	uV	512	n/a	good	n/a
LF3	SEEG	uV	512	n/a	good	n/a
LF4	SEEG	uV	512	n/a	good	n/a
LF5	SEEG	uV	512	n/a	good	n/a
LF6	SEEG	uV	512	n/a	good	n/a
LF7	SEEG	uV	512	n/a	good	n/a
LF8	SEEG	uV	512	n/a	good	n/a
LF9	SEEG	uV	512	n/a	good	n/a
LF10	SEEG	uV	512	n/a	good	n/a
RA1	SEEG	uV	512	n/a	good	n/a
RA2	SEEG	uV	512	n/a	good	n/a
RA3	SEEG	uV	512	n/a	good	n/a
RA4	SEEG	uV	512	n/a	good	n/a
RA5	SEEG	uV	512	n/a	good	n/a
RA6	SEEG	uV	512	n/a	good	n/a
RA7	SEEG	uV	512	n/a	good	n/a
RA8	SEEG	uV	512	n/a	good	n/a
RA9	SEEG	uV	512	n/a	good	n/a
RA10	SEEG	uV	512	n/a	good	n/a
RHH1	SEEG	uV	512	n/a	good	n/a
RHH2	SEEG	uV	512	n/a	good	n/a
RHH3	SEEG	uV	512	n/a	good	n/a
RHH4	SEEG	uV	512	n/a	good	n/a
RHH5	SEEG	uV	512	n/a	good	n/a
RHH6	SEEG	uV	512	n/a	good	n/a
RHH7	SEEG	uV	512	n/a	good	n/a
RHH8	SEEG	uV	512	n/a	good	n/a
RHH9	SEEG	uV	512	n/a	good	n/a
RHH10	SEEG	uV	512	n/a	good	n/a
RHT1	SEEG	uV	512	n/a	good	n/a
RHT2	SEEG	uV	512	n/a	good	n/a
RHT3	SEEG	uV	512	n/a	good	n/a
RHT4	SEEG	uV	512	n/a	good	n/a
RHT5	SEEG	uV	512	n/a	good	n/a
RHT6	SEEG	uV	512	n/a	good	n/a
RHT7	SEEG	uV	512	n/a	good	n/a
RHT8	SEEG	uV	512	n/a	good	n/a
RHT9	SEEG	uV	512	n/a	good	n/a
RHT10	SEEG	uV	512	n/a	good	n/a
RAC1	SEEG	uV	512	n/a	good	n/a
RAC2	SEEG	uV	512	n/a	good	n/a
RAC3	SEEG	uV	512	n/a	good	n/a
RAC4	SEEG	uV	512	n/a	good	n/a
RAC5	SEEG	uV	512	n/a	good	n/a
RAC6	SEEG	uV	512	n/a	good	n/a
RAC7	SEEG	uV	512	n/a	good	n/a
RAC8	SEEG	uV	512	n/a	good	n/a
RAC9	SEEG	uV	512	n/a	good	n/a
RAC10	SEEG	uV	512	n/a	good	n/a
RFLS1	SEEG	uV	512	n/a	good	n/a
RFLS2	SEEG	uV	512	n/a	good	n/a
RFLS3	SEEG	uV	512	n/a	good	n/a
RFLS4	SEEG	uV	512	n/a	good	n/a
RFLS5	SEEG	uV	512	n/a	good	n/a
RFLS6	SEEG	uV	512	n/a	good	n/a
RFLS7	SEEG	uV	512	n/a	good	n/a
RFLS8	SEEG	uV	512	n/a	good	n/a
RFLS9	SEEG	uV	512	n/a	good	n/a
RFLS10	SEEG	uV	512	n/a	good	n/a
RFLD1	SEEG	uV	512	n/a	good	n/a
RFLD2	SEEG	uV	512	n/a	good	n/a
RFLD3	SEEG	uV	512	n/a	good	n/a
RFLD4	SEEG	uV	512	n/a	good	n/a
RFLD5	SEEG	uV	512	n/a	good	n/a
RFLD6	SEEG	uV	512	n/a	good	n/a
RFLD7	SEEG	uV	512	n/a	good	n/a
RFLD8	SEEG	uV	512	n/a	good	n/a
RFLD9	SEEG	uV	512	n/a	good	n/a
RFLD10	SEEG	uV	512	n/a	good	n/a
EKG2	ECG	uV	512	n/a	good	n/a
EKG4	ECG	uV	512	n/a	good	n/a
C103	OTHER	uV	512	n/a	bad	noise
C104	OTHER	uV	512	n/a	bad	noise
C105	OTHER	uV	512	n/a	bad	noise
C106	OTHER	uV	512	n/a	bad	noise
C107	OTHER	uV	512	n/a	bad	noise
C108	OTHER	uV	512	n/a	bad	noise
C109	OTHER	uV	512	n/a	bad	noise
C110	OTHER	uV	512	n/a	bad	noise
C111	OTHER	uV	512	n/a	bad	noise
C112	OTHER	uV	512	n/a	bad	noise
C113	OTHER	uV	512	n/a	bad	noise
C114	OTHER	uV	512	n/a	bad	noise
C115	OTHER	uV	512	n/a	bad	noise
C116	OTHER	uV	512	n/a	bad	noise
C117	OTHER	uV	512	n/a	bad	noise
C118	OTHER	uV	512	n/a	bad	noise
C119	OTHER	uV	512	n/a	bad	noise
C120	OTHER	uV	512	n/a	bad	noise
C121	OTHER	uV	512	n/a	bad	noise
C122	OTHER	uV	512	n/a	bad	noise
C123	OTHER	uV	512	n/a	bad	noise
C124	OTHER	uV	512	n/a	bad	noise
C125	OTHER	uV	512	n/a	bad	noise
C126	OTHER	uV	512	n/a	bad	noise
C127	OTHER	uV	512	n/a	bad	noise
C128	OTHER	uV	512	n/a	bad	noise
C129	OTHER	uV	512	n/a	bad	noise
C130	OTHER	uV	512	n/a	bad	noise
C131	OTHER	uV	512	n/a	bad	noise
C132	OTHER	uV	512	n/a	bad	noise
C133	OTHER	uV	512	n/a	bad	noise
C134	OTHER	uV	512	n/a	bad	noise
