name	type	units	low_cutoff	high_cutoff	status	status_description
Macro 1	SEEG	uV	512	n/a	good	n/a
Macro 2	SEEG	uV	512	n/a	good	n/a
Macro 3	SEEG	uV	512	n/a	good	n/a
Macro 4	SEEG	uV	512	n/a	good	n/a
Macro 5	SEEG	uV	512	n/a	good	n/a
Macro 6	SEEG	uV	512	n/a	good	n/a
Macro 7	SEEG	uV	512	n/a	good	n/a
LHSTG1	SEEG	uV	512	n/a	good	n/a
LHSTG2	SEEG	uV	512	n/a	good	n/a
LHSTG3	SEEG	uV	512	n/a	good	n/a
LHSTG4	SEEG	uV	512	n/a	good	n/a
LHSTG5	SEEG	uV	512	n/a	good	n/a
LHSTG6	SEEG	uV	512	n/a	good	n/a
LHSTG7	SEEG	uV	512	n/a	good	n/a
LHSTG8	SEEG	uV	512	n/a	good	n/a
LHSTG9	SEEG	uV	512	n/a	good	n/a
LHSTG10	SEEG	uV	512	n/a	good	n/a
LHSTG11	SEEG	uV	512	n/a	good	n/a
LHSTG12	SEEG	uV	512	n/a	good	n/a
LHSTG13	SEEG	uV	512	n/a	good	n/a
LHSTG14	SEEG	uV	512	n/a	good	n/a
LA1	SEEG	uV	512	n/a	good	n/a
LA2	SEEG	uV	512	n/a	good	n/a
LA3	SEEG	uV	512	n/a	good	n/a
LA4	SEEG	uV	512	n/a	good	n/a
LA5	SEEG	uV	512	n/a	good	n/a
LA6	SEEG	uV	512	n/a	good	n/a
LA7	SEEG	uV	512	n/a	good	n/a
LA8	SEEG	uV	512	n/a	good	n/a
LA9	SEEG	uV	512	n/a	good	n/a
LA10	SEEG	uV	512	n/a	good	n/a
LA11	SEEG	uV	512	n/a	good	n/a
LA12	SEEG	uV	512	n/a	good	n/a
LA13	SEEG	uV	512	n/a	good	n/a
LA14	SEEG	uV	512	n/a	good	n/a
LA15	SEEG	uV	512	n/a	good	n/a
LA16	SEEG	uV	512	n/a	good	n/a
LAC1	SEEG	uV	512	n/a	good	n/a
LAC2	SEEG	uV	512	n/a	good	n/a
LAC3	SEEG	uV	512	n/a	good	n/a
LAC4	SEEG	uV	512	n/a	good	n/a
LAC5	SEEG	uV	512	n/a	good	n/a
LAC6	SEEG	uV	512	n/a	good	n/a
LAC7	SEEG	uV	512	n/a	good	n/a
LAC8	SEEG	uV	512	n/a	good	n/a
LAC9	SEEG	uV	512	n/a	good	n/a
LAC10	SEEG	uV	512	n/a	good	n/a
LAC11	SEEG	uV	512	n/a	good	n/a
LAC12	SEEG	uV	512	n/a	good	n/a
LAC13	SEEG	uV	512	n/a	good	n/a
LAC14	SEEG	uV	512	n/a	good	n/a
LAC15	SEEG	uV	512	n/a	good	n/a
LAC16	SEEG	uV	512	n/a	good	n/a
LOF1	SEEG	uV	512	n/a	good	n/a
LOF2	SEEG	uV	512	n/a	good	n/a
LOF3	SEEG	uV	512	n/a	good	n/a
LOF4	SEEG	uV	512	n/a	good	n/a
LOF5	SEEG	uV	512	n/a	good	n/a
LOF6	SEEG	uV	512	n/a	good	n/a
LOF7	SEEG	uV	512	n/a	good	n/a
LOF8	SEEG	uV	512	n/a	good	n/a
LOF9	SEEG	uV	512	n/a	good	n/a
LOF10	SEEG	uV	512	n/a	good	n/a
LOF11	SEEG	uV	512	n/a	good	n/a
LOF12	SEEG	uV	512	n/a	good	n/a
LOF13	SEEG	uV	512	n/a	good	n/a
LOF14	SEEG	uV	512	n/a	good	n/a
LOF15	SEEG	uV	512	n/a	good	n/a
LOF16	SEEG	uV	512	n/a	good	n/a
C70	OTHER	uV	512	n/a	bad	noise
C71	OTHER	uV	512	n/a	bad	noise
C72	OTHER	uV	512	n/a	bad	noise
C73	OTHER	uV	512	n/a	bad	noise
C74	OTHER	uV	512	n/a	bad	noise
C75	OTHER	uV	512	n/a	bad	noise
C76	OTHER	uV	512	n/a	bad	noise
C77	OTHER	uV	512	n/a	bad	noise
C78	OTHER	uV	512	n/a	bad	noise
C79	OTHER	uV	512	n/a	bad	noise
C80	OTHER	uV	512	n/a	bad	noise
C81	OTHER	uV	512	n/a	bad	noise
C82	OTHER	uV	512	n/a	bad	noise
C83	OTHER	uV	512	n/a	bad	noise
C84	OTHER	uV	512	n/a	bad	noise
C85	OTHER	uV	512	n/a	bad	noise
ROF1	SEEG	uV	512	n/a	good	n/a
ROF2	SEEG	uV	512	n/a	good	n/a
ROF3	SEEG	uV	512	n/a	good	n/a
ROF4	SEEG	uV	512	n/a	good	n/a
ROF5	SEEG	uV	512	n/a	good	n/a
ROF6	SEEG	uV	512	n/a	good	n/a
ROF7	SEEG	uV	512	n/a	good	n/a
ROF8	SEEG	uV	512	n/a	good	n/a
ROF9	SEEG	uV	512	n/a	good	n/a
ROF10	SEEG	uV	512	n/a	good	n/a
ROF11	SEEG	uV	512	n/a	good	n/a
ROF12	SEEG	uV	512	n/a	good	n/a
ROF13	SEEG	uV	512	n/a	good	n/a
ROF14	SEEG	uV	512	n/a	good	n/a
ROF15	SEEG	uV	512	n/a	good	n/a
ROF16	SEEG	uV	512	n/a	good	n/a
RAC1	SEEG	uV	512	n/a	good	n/a
RAC2	SEEG	uV	512	n/a	good	n/a
RAC3	SEEG	uV	512	n/a	good	n/a
RAC4	SEEG	uV	512	n/a	good	n/a
RAC5	SEEG	uV	512	n/a	good	n/a
RAC6	SEEG	uV	512	n/a	good	n/a
RAC7	SEEG	uV	512	n/a	good	n/a
RAC8	SEEG	uV	512	n/a	good	n/a
RAC9	SEEG	uV	512	n/a	good	n/a
RAC10	SEEG	uV	512	n/a	good	n/a
RAC11	SEEG	uV	512	n/a	good	n/a
RAC12	SEEG	uV	512	n/a	good	n/a
RAC13	SEEG	uV	512	n/a	good	n/a
RAC14	SEEG	uV	512	n/a	good	n/a
RAC15	SEEG	uV	512	n/a	good	n/a
RAC16	SEEG	uV	512	n/a	good	n/a
RPC1	SEEG	uV	512	n/a	good	n/a
RPC2	SEEG	uV	512	n/a	good	n/a
RPC3	SEEG	uV	512	n/a	good	n/a
RPC4	SEEG	uV	512	n/a	good	n/a
RPC5	SEEG	uV	512	n/a	good	n/a
RPC6	SEEG	uV	512	n/a	good	n/a
RPC7	SEEG	uV	512	n/a	good	n/a
