name	type	units	low_cutoff	high_cutoff	status	status_description
LA1	SEEG	uV	512	n/a	good	n/a
LA2	SEEG	uV	512	n/a	good	n/a
LA3	SEEG	uV	512	n/a	good	n/a
LA4	SEEG	uV	512	n/a	good	n/a
LA5	SEEG	uV	512	n/a	good	n/a
LA6	SEEG	uV	512	n/a	good	n/a
LA7	SEEG	uV	512	n/a	good	n/a
LA8	SEEG	uV	512	n/a	good	n/a
LA9	SEEG	uV	512	n/a	good	n/a
LA10	SEEG	uV	512	n/a	good	n/a
LHH1	SEEG	uV	512	n/a	good	n/a
LHH2	SEEG	uV	512	n/a	good	n/a
LHH3	SEEG	uV	512	n/a	good	n/a
LHH4	SEEG	uV	512	n/a	good	n/a
LHH5	SEEG	uV	512	n/a	good	n/a
LHH6	SEEG	uV	512	n/a	good	n/a
LHH7	SEEG	uV	512	n/a	good	n/a
LHH8	SEEG	uV	512	n/a	good	n/a
LHH9	SEEG	uV	512	n/a	good	n/a
LHH10	SEEG	uV	512	n/a	good	n/a
LHT1	SEEG	uV	512	n/a	good	n/a
LHT2	SEEG	uV	512	n/a	good	n/a
LHT3	SEEG	uV	512	n/a	good	n/a
LHT4	SEEG	uV	512	n/a	good	n/a
LHT5	SEEG	uV	512	n/a	good	n/a
LHT6	SEEG	uV	512	n/a	good	n/a
LHT7	SEEG	uV	512	n/a	good	n/a
LHT8	SEEG	uV	512	n/a	good	n/a
LHT9	SEEG	uV	512	n/a	good	n/a
LHT10	SEEG	uV	512	n/a	good	n/a
LAC1	SEEG	uV	512	n/a	good	n/a
LAC2	SEEG	uV	512	n/a	good	n/a
LAC3	SEEG	uV	512	n/a	good	n/a
LAC4	SEEG	uV	512	n/a	good	n/a
LAC5	SEEG	uV	512	n/a	good	n/a
LAC6	SEEG	uV	512	n/a	good	n/a
LAC7	SEEG	uV	512	n/a	good	n/a
LAC8	SEEG	uV	512	n/a	good	n/a
LAC9	SEEG	uV	512	n/a	good	n/a
LAC10	SEEG	uV	512	n/a	good	n/a
LOF1	SEEG	uV	512	n/a	good	n/a
LOF2	SEEG	uV	512	n/a	good	n/a
LOF3	SEEG	uV	512	n/a	good	n/a
LOF4	SEEG	uV	512	n/a	good	n/a
LOF5	SEEG	uV	512	n/a	good	n/a
LOF6	SEEG	uV	512	n/a	good	n/a
LOF7	SEEG	uV	512	n/a	good	n/a
LOF8	SEEG	uV	512	n/a	good	n/a
LOF9	SEEG	uV	512	n/a	good	n/a
LOF10	SEEG	uV	512	n/a	good	n/a
RA1	SEEG	uV	512	n/a	good	n/a
RA2	SEEG	uV	512	n/a	good	n/a
RA3	SEEG	uV	512	n/a	good	n/a
RA4	SEEG	uV	512	n/a	good	n/a
RA5	SEEG	uV	512	n/a	good	n/a
RA6	SEEG	uV	512	n/a	good	n/a
RA7	SEEG	uV	512	n/a	good	n/a
RA8	SEEG	uV	512	n/a	good	n/a
RA9	SEEG	uV	512	n/a	good	n/a
RA10	SEEG	uV	512	n/a	good	n/a
RHH1	SEEG	uV	512	n/a	good	n/a
RHH2	SEEG	uV	512	n/a	good	n/a
RHH3	SEEG	uV	512	n/a	good	n/a
RHH4	SEEG	uV	512	n/a	good	n/a
RHH5	SEEG	uV	512	n/a	good	n/a
RHH6	SEEG	uV	512	n/a	good	n/a
RHH7	SEEG	uV	512	n/a	good	n/a
RHH8	SEEG	uV	512	n/a	good	n/a
RHH9	SEEG	uV	512	n/a	good	n/a
RHH10	SEEG	uV	512	n/a	good	n/a
RHB1	SEEG	uV	512	n/a	good	n/a
RHB2	SEEG	uV	512	n/a	good	n/a
RHB3	SEEG	uV	512	n/a	good	n/a
RHB4	SEEG	uV	512	n/a	good	n/a
RHB5	SEEG	uV	512	n/a	good	n/a
RHB6	SEEG	uV	512	n/a	good	n/a
RHB7	SEEG	uV	512	n/a	good	n/a
RHB8	SEEG	uV	512	n/a	good	n/a
RHB9	SEEG	uV	512	n/a	good	n/a
RHB10	SEEG	uV	512	n/a	good	n/a
RHT1	SEEG	uV	512	n/a	good	n/a
RHT2	SEEG	uV	512	n/a	good	n/a
RHT3	SEEG	uV	512	n/a	good	n/a
RHT4	SEEG	uV	512	n/a	good	n/a
RHT5	SEEG	uV	512	n/a	good	n/a
RHT6	SEEG	uV	512	n/a	good	n/a
RHT7	SEEG	uV	512	n/a	good	n/a
RHT8	SEEG	uV	512	n/a	good	n/a
RHT9	SEEG	uV	512	n/a	good	n/a
RHT10	SEEG	uV	512	n/a	good	n/a
RIF1	SEEG	uV	512	n/a	good	n/a
RIF2	SEEG	uV	512	n/a	good	n/a
RIF3	SEEG	uV	512	n/a	good	n/a
RIF4	SEEG	uV	512	n/a	good	n/a
RIF5	SEEG	uV	512	n/a	good	n/a
RIF6	SEEG	uV	512	n/a	good	n/a
RIF7	SEEG	uV	512	n/a	good	n/a
RIF8	SEEG	uV	512	n/a	good	n/a
RIF9	SEEG	uV	512	n/a	good	n/a
RIF10	SEEG	uV	512	n/a	good	n/a
ROF1	SEEG	uV	512	n/a	good	n/a
ROF2	SEEG	uV	512	n/a	good	n/a
ROF3	SEEG	uV	512	n/a	good	n/a
ROF4	SEEG	uV	512	n/a	good	n/a
ROF5	SEEG	uV	512	n/a	good	n/a
ROF6	SEEG	uV	512	n/a	good	n/a
ROF7	SEEG	uV	512	n/a	good	n/a
ROF8	SEEG	uV	512	n/a	good	n/a
ROF9	SEEG	uV	512	n/a	good	n/a
ROF10	SEEG	uV	512	n/a	good	n/a
ROFBAC1	SEEG	uV	512	n/a	good	n/a
ROFBAC2	SEEG	uV	512	n/a	good	n/a
ROFBAC3	SEEG	uV	512	n/a	good	n/a
ROFBAC4	SEEG	uV	512	n/a	good	n/a
ROFBAC5	SEEG	uV	512	n/a	good	n/a
ROFBAC6	SEEG	uV	512	n/a	good	n/a
ROFBAC7	SEEG	uV	512	n/a	good	n/a
ROFBAC8	SEEG	uV	512	n/a	good	n/a
ROFBAC9	SEEG	uV	512	n/a	good	n/a
ROFBAC10	SEEG	uV	512	n/a	good	n/a
EKG2	ECG	uV	512	n/a	good	n/a
EKG4	ECG	uV	512	n/a	good	n/a
C123	OTHER	uV	512	n/a	bad	noise
C124	OTHER	uV	512	n/a	bad	noise
C125	OTHER	uV	512	n/a	bad	noise
C126	OTHER	uV	512	n/a	bad	noise
C127	OTHER	uV	512	n/a	bad	noise
C128	OTHER	uV	512	n/a	bad	noise
DC1	MISC	n/a	512	n/a	good	simultaneously recorded room audio
DC2	MISC	n/a	512	n/a	bad	noise
DC3	MISC	n/a	512	n/a	bad	noise
