Time	Action
2188.41181628	Played s1604a-ex01_question_normed.wav
2195.08810094	Pressed SPACE
2195.09287092	Played NO_SPEECH
2223.66400404	Pressed SPACE
2224.18985523	Played excerpts/Block 5\s1401b-ex01_normed.wav
2279.20457934	Played s1401b-ex01_question_normed.wav
2285.80806253	Pressed SPACE
2285.81303308	Played NO_SPEECH
2288.83553761	Played excerpts/Block 5\s1202b-ex01_normed.wav
2323.84690587	Played s1202b-ex01_question_normed.wav
2329.6483221	Pressed SPACE
2329.65291248	Played NO_SPEECH
2332.67140174	Played excerpts/Block 5\catalan-m03_normed.wav
2336.68523521	Played catalan-m03_question_normed.wav
2390.44831985	Pressed SPACE
2390.45293425	Played NO_SPEECH
2393.47249503	Played excerpts/Block 5\s1503a-ex01_normed.wav
2410.48127032	Played s1503a-ex01_question_normed.wav
2416.56035964	Pressed SPACE
2416.56550034	Played NO_SPEECH
2419.58828617	Played excerpts/Block 5\s3003a-ex01_normed.wav
2453.59952259	Played s3003a-ex01_question_normed.wav
2458.54447254	Pressed SPACE
2458.54914288	Played NO_SPEECH
2461.57504108	Played excerpts/Block 5\s1703b-ex01_normed.wav
2515.58944532	Played s1703b-ex01_question_normed.wav
2522.12853189	Pressed SPACE
2522.13289513	Played NO_SPEECH
2525.15389458	Played excerpts/Block 5\s0802b-ex01_normed.wav
2555.16468696	Played s0802b-ex01_question_normed.wav
2563.2965535	Pressed SPACE
2563.30126166	Played NO_SPEECH
2566.32711361	Played excerpts/Block 5\s1103a-ex01_normed.wav
2621.34140748	Played s1103a-ex01_question_normed.wav
2627.52064764	Pressed SPACE
2627.52526918	Played NO_SPEECH
2630.55074455	Played excerpts/Block 5\s0203b-ex01_normed.wav
2673.56468482	Played s0203b-ex01_question_normed.wav
2680.33688889	Pressed SPACE
2680.3415526	Played NO_SPEECH
2705.47291071	Pressed SPACE
2705.9963115	Played excerpts/Block 6\s3003a-ex02_normed.wav
2751.01002336	Played s3003a-ex02_question_normed.wav
2757.16900244	Pressed SPACE
2757.17419935	Played NO_SPEECH
2760.19804673	Played excerpts/Block 6\s0305a-ex01_normed.wav
2804.21276471	Played s0305a-ex01_question_normed.wav
2818.03301971	Pressed SPACE
2818.03761954	Played NO_SPEECH
2821.06023547	Played excerpts/Block 6\s2302b-ex01_normed.wav
2857.07161752	Played s2302b-ex01_question_normed.wav
2864.19312677	Pressed SPACE
2864.19807356	Played NO_SPEECH
2867.22104742	Played excerpts/Block 6\s0901b-ex01_normed.wav
2904.23263208	Played s0901b-ex01_question_normed.wav
2911.68130962	Pressed SPACE
2911.68617567	Played NO_SPEECH
2914.70935648	Played excerpts/Block 6\s1203a-ex01_normed.wav
2949.72020942	Played s1203a-ex01_question_normed.wav
2955.55330813	Pressed SPACE
2955.55837576	Played NO_SPEECH
2958.58180338	Played excerpts/Block 6\s1702b-ex01_normed.wav
3000.59545111	Played s1702b-ex01_question_normed.wav
3008.78531631	Pressed SPACE
3008.78991997	Played NO_SPEECH
3011.81810046	Played excerpts/Block 6\s1503a-ex02_normed.wav
3039.82857195	Played s1503a-ex02_question_normed.wav
3046.06549779	Pressed SPACE
3046.07003349	Played NO_SPEECH
3049.08732348	Played excerpts/Block 6\catalan-f03_normed.wav
3053.10261759	Played catalan-f03_question_normed.wav
3111.66558348	Pressed SPACE
3111.67019736	Played NO_SPEECH
3114.69208616	Played excerpts/Block 6\s3801a-ex01_normed.wav
3148.7033627	Played s3801a-ex01_question_normed.wav
3157.00960896	Pressed SPACE
3157.01457107	Played NO_SPEECH
3162.27362358	Pressed SPACE
