Time	Action
69.1645857903	Pressed SPACE
69.6771880627	Played welcome_normed.wav
78.7006501695	Pressed SPACE
79.2117522079	Played instructions1_normed.wav
116.732451452	Pressed SPACE
117.242697345	Played instructions2_clipped_normed.wav
132.246175834	Played pleasePressSpace_sined.wav
137.436638873	Pressed SPACE
137.946672199	Played instructions3_normed.wav
145.452553566	Pressed SPACE
145.967640218	Played excerpts/Block 1\catalan-m01_normed.wav
149.980513053	Played catalan-m01_question_normed.wav
211.228755797	Pressed SPACE
211.233949387	Played NO_SPEECH
214.25556967	Played excerpts/Block 1\s2102a-ex01_normed.wav
243.267161482	Played s2102a-ex01_question_normed.wav
260.36493576	Pressed SPACE
260.369799257	Played NO_SPEECH
263.391628531	Played excerpts/Block 1\s4002b-ex01_normed.wav
298.404872082	Played s4002b-ex01_question_normed.wav
305.64494274	Pressed SPACE
305.649961319	Played NO_SPEECH
308.671486305	Played excerpts/Block 1\s1303a-ex01_normed.wav
343.682833613	Played s1303a-ex01_question_normed.wav
357.180853825	Pressed SPACE
357.185829993	Played NO_SPEECH
360.205934458	Played excerpts/Block 1\s2301a-ex01_normed.wav
383.215141275	Played s2301a-ex01_question_normed.wav
389.22897373	Pressed SPACE
389.233917961	Played NO_SPEECH
392.258324613	Played excerpts/Block 1\s3001b-ex01_normed.wav
442.272269482	Played s3001b-ex01_question_normed.wav
449.437056087	Pressed SPACE
449.441896335	Played NO_SPEECH
452.465165547	Played excerpts/Block 1\s3602b-ex01_normed.wav
488.477133439	Played s3602b-ex01_question_normed.wav
497.421284468	Pressed SPACE
497.425804587	Played NO_SPEECH
500.448643555	Played excerpts/Block 1\s1401a-ex01_normed.wav
536.458428801	Played s1401a-ex01_question_normed.wav
542.189234646	Pressed SPACE
542.193568513	Played NO_SPEECH
545.215035503	Played excerpts/Block 1\s1901b-ex01_normed.wav
583.226359051	Played s1901b-ex01_question_normed.wav
590.87743226	Pressed SPACE
590.882132243	Played NO_SPEECH
606.38145213	Pressed SPACE
606.90520013	Played excerpts/Block 2\s3602b-ex02_normed.wav
639.916881363	Played s3602b-ex02_question_normed.wav
648.365468966	Pressed SPACE
648.370444112	Played NO_SPEECH
651.393734275	Played excerpts/Block 2\s2102a-ex02_normed.wav
688.406339613	Played s2102a-ex02_question_normed.wav
693.277536653	Pressed SPACE
693.282100716	Played NO_SPEECH
696.308407187	Played excerpts/Block 2\s2202b-ex02_normed.wav
751.322518635	Played s2202b-ex02_question_normed.wav
760.269701302	Pressed SPACE
760.274667762	Played NO_SPEECH
763.298877686	Played excerpts/Block 2\s1201a-ex01_normed.wav
798.310131485	Played s1201a-ex01_question_normed.wav
805.709719023	Pressed SPACE
805.714541642	Played NO_SPEECH
808.738010647	Played excerpts/Block 2\s0703b-ex01_normed.wav
848.749000014	Played s0703b-ex01_question_normed.wav
853.709723622	Pressed SPACE
853.714664277	Played NO_SPEECH
856.736948833	Played excerpts/Block 2\s3903b-ex01_normed.wav
883.746392745	Played s3903b-ex01_question_normed.wav
894.52587776	Pressed SPACE
894.530536099	Played NO_SPEECH
897.551685515	Played excerpts/Block 2\s4003b-ex01_normed.wav
923.561834322	Played s4003b-ex01_question_normed.wav
931.709897099	Pressed SPACE
931.714565402	Played NO_SPEECH
934.735985893	Played excerpts/Block 2\s3301a-ex01_normed.wav
960.745011313	Played s3301a-ex01_question_normed.wav
969.230029667	Pressed SPACE
969.234386273	Played NO_SPEECH
972.249594283	Played excerpts/Block 2\catalan-f01_normed.wav
976.262797722	Played catalan-f01_question_normed.wav
1031.79006407	Pressed SPACE
1031.79485705	Played NO_SPEECH
1231.80632648	Pressed SPACE
1232.33843614	Played excerpts/Block 3\s3201a-ex01_normed.wav
1310.35547831	Played s3201a-ex01_question_normed.wav
1317.29457167	Pressed SPACE
1317.29972003	Played NO_SPEECH
1320.32279405	Played excerpts/Block 3\s3703b-ex01_normed.wav
1356.33469194	Played s3703b-ex01_question_normed.wav
1371.77462688	Pressed SPACE
1371.77965032	Played NO_SPEECH
1374.80394225	Played excerpts/Block 3\s1001a-ex01_normed.wav
1416.81649803	Played s1001a-ex01_question_normed.wav
1422.3826887	Pressed SPACE
1422.38755373	Played NO_SPEECH
1425.40459641	Played excerpts/Block 3\catalan-m02_normed.wav
1429.41992194	Played catalan-m02_question_normed.wav
1487.00672116	Pressed SPACE
1487.01163857	Played NO_SPEECH
1490.03462367	Played excerpts/Block 3\s1401a-ex02_normed.wav
1527.04750903	Played s1401a-ex02_question_normed.wav
1535.11881102	Pressed SPACE
1535.12360758	Played NO_SPEECH
1538.14720791	Played excerpts/Block 3\s3301a-ex02_normed.wav
1576.16013951	Played s3301a-ex02_question_normed.wav
1581.67902554	Pressed SPACE
1581.68404591	Played NO_SPEECH
1584.70645285	Played excerpts/Block 3\s3903b-ex02_normed.wav
1617.71773986	Played s3903b-ex02_question_normed.wav
1625.343049	Pressed SPACE
1625.34751445	Played NO_SPEECH
1628.37173408	Played excerpts/Block 3\s1501a-ex01_normed.wav
1672.38417922	Played s1501a-ex01_question_normed.wav
1679.85515716	Pressed SPACE
1679.8601576	Played NO_SPEECH
1682.88196132	Played excerpts/Block 3\s1303a-ex02_normed.wav
1712.89362799	Played s1303a-ex02_question_normed.wav
1723.75915776	Pressed SPACE
1723.76371416	Played NO_SPEECH
1736.47928338	Pressed SPACE
1737.00154392	Played excerpts/Block 4\s3802a-ex01_normed.wav
1772.01323819	Played s3802a-ex01_question_normed.wav
1780.20726377	Pressed SPACE
1780.21210938	Played NO_SPEECH
1783.2382158	Played excerpts/Block 4\s0202b-ex01_normed.wav
1840.25317471	Played s0202b-ex01_question_normed.wav
1846.95946098	Pressed SPACE
1846.96397778	Played NO_SPEECH
1849.98085209	Played excerpts/Block 4\catalan-f02_normed.wav
1853.99425098	Played catalan-f02_question_normed.wav
1900.33552075	Pressed SPACE
1900.34024781	Played NO_SPEECH
1903.36151654	Played excerpts/Block 4\s3102b-ex01_normed.wav
1924.37113317	Played s3102b-ex01_question_normed.wav
1929.96748207	Pressed SPACE
1929.97250014	Played NO_SPEECH
1932.99819471	Played excerpts/Block 4\s2801a-ex01_normed.wav
1994.01421492	Played s2801a-ex01_question_normed.wav
2000.04768429	Pressed SPACE
2000.0523342	Played NO_SPEECH
2003.07425903	Played excerpts/Block 4\s0702a-ex01_normed.wav
2034.08433707	Played s0702a-ex01_question_normed.wav
2041.42374074	Pressed SPACE
2041.42833802	Played NO_SPEECH
2044.45303874	Played excerpts/Block 4\s2102a-ex03_normed.wav
2090.46570463	Played s2102a-ex03_question_normed.wav
2094.76775779	Pressed SPACE
2094.77264531	Played NO_SPEECH
2097.79367388	Played excerpts/Block 4\s3902a-ex01_normed.wav
2129.8054964	Played s3902a-ex01_question_normed.wav
2138.36782943	Pressed SPACE
2138.3723562	Played NO_SPEECH
2141.39766242	Played excerpts/Block 4\s1604a-ex01_normed.wav
